"Original entry";"Current entry";"Number of entries";"Level 1";"Level 2"
"Aphid";"Aphid";1;"Insects";"Arthropoda"
"Aquatic invertebrate";"Invertebrates";1;"##diese eine art sollte auf ihre taxonomische zugehörigkeit überprüft werden";"Invertebrates"
"Aquatic plant";"Plants";1;"Vascular plants";"Plants"
"Asteroidea";"Asteroidea";1;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"clubmoss";"clubmoss";1;"Vascular plants";"Plants"
"Eurotatoria";"Eurotatoria";1;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Holothuroidea";"Holothuroidea";1;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"horsetail";"horsetail";1;"Vascular plants";"Plants"
"Jellyfish";"Jellyfish";1;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Nuda";"Nuda";1;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Phascolosomatidea";"Phascolosomatidea";1;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Phylactolaemata";"Phylactolaemata";1;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Polyplacophora";"Polyplacophora";1;"Molluscs";"Invertebrates"
"stonewort";"stonewort";1;"Algae";"Plants"
"Turtle";"Turtle";1;"Reptiles";"Vertebrates"
"Anthoceratopsida";"Bryophyta";2;"Bryophytes";"Plants"
"Clitellata";"Annelida";2;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Pycnogonida";"Pycnogonida";2;"Arthropods p.p. (Myriapods, Diplopods etc.)";"Arthropoda"
"Sea-squirt";"Tunicata";2;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Tentaculata";"Tentaculata";2;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Bacteria";"Bacteria";3;"Bacteria and protozoans";"Bacteria and protozoa"
"Elasmobranchii";"Fish";3;"Fish";"Vertebrates"
"Ophiuroidea";"Ophiuroidea";3;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Scyphozoa";"Scyphozoa";3;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Cephalopoda";"Cephalopoda";4;"Molluscs";"Invertebrates"
"Chondrichthyes";"Fish";4;"Fish";"Vertebrates"
"Demospongiae";"Porifera";4;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Flatworm";"Platyhelminthes";4;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
