"WrongEntry";"NewEntry"
"Abax parallelopipedus";"Abax parallelipipedus"
"Agathis dimidiator";"Bassus dimidiator"
"Aleurodicus disperses";"Aleurodicus dispersus"
"Aleurotuba jelenekii";"Aleurotrachelus jelinekii"
"Ambrosia artemisiaefolia";"Ambrosia artemisiifolia"
"Ambrosia artemisiifolia";"Ambrosia artemisiifolia"
"Anolis caroliniensis";"Anolis carolinensis"
"Apanteles sesamiae";"Apanteles sesamia"
"Aptinothrips stylifera";"Aptinothrips stylifer"
"Argopectens irradias";"Argopecten irradians"
"Asparagopsis “taxiformis” - Lineage 4";"Asparagopsis taxiformis"
"Aster subulatus";"Aster squamatus"
"Aster subulatus var. ligilatus";"Aster subulatus var. ligatus"
"Aster x salingus";"Aster x salignus"
"Balanus ebumeus";"Balanus eburneus"
"Balanus eburneus";"Balanus eburneus"
"Bankia fimbriata";"Bankia fimbriatula"
"Bankia fimbriatula";"Bankia fimbriatula"
"Bauera sessiflora";"Bauera sessiliflora"
"Beaumontia grandifolia";"Beaumontia grandiflora"
"Begonia stipulata";"Begonia stipulate"
"Bembidion bruxellenses";"Bembidion bruxellense"
"Billardiera longifolia";"Billardiera longiflora"
"Bougainvillea x hybrid cultivars";"#HannoCheck"
"Bouvardia longifolia";"Bouvardia longiflora"
"Brassia scoparia";"Bassia scoparia"
"Calladium violaceum";"Callidium violaceum"
"Campylirhynchus pericarpus";"Campylirhynchus pericarpius"
"Caulophilus latinosus";"Caulophilus oryzae"
"Cenchrus polystachion";"Cenchrus polystachios"
"Ceramium strobiliforme";"Ceramium strobiliformis"
"Ceropegia stapeliaeformis";"Ceropegia stapeliiformis"
"Ceroplastes eugineae";"Ceroplastes eugeniae"
"Ceroplastes stellifera";"Ceroplastes stellifer"
"Chamaeleo chameleon";"Chamaeleo chamaeleon"
"Chorizococcus oreophilis";"Chorizococcus oreophilus"
"Citrus limoni";"Citrus × limon"
"Clerodendron glabrum";"Clerodendrum glabrum"
"Clerodendron nutans";"Clerodendrum nutans"
"Clerodendron philippinum";"Clerodendrum philippinum"
"Clerodendron splendens";"Clerodendrum splendens"
"Clerodendron thomsoniae";"Clerodendrum thomsoniae"
"Clerodendron tomentosum";"Clerodendrum tomentosum"
"Clerodendron ugandense";"Clerodendrum ugandense"
"Coregonus lavaretus maroinoides";"Coregonus maraenoides"
"Crepipatella dilata";"Crepipatella dilatata"
"Crepipatella dilatata";"Crepipatella dilatata"
"Crocosmia x crocosmifolia";"Crocosmia x crocosmiiflora"
"Cryptocarenus hevea";"Cryptocarenus heveae"
"Diplazon laetatorills";"Diplazon laetatorius"
"Drosophila similans";"Drosophila simulans"
"Drosophila simulans";"Drosophila simulans"
"Erica cavandishii";"Erica cavendishii"
"Erica sessiflora";"erica sessiliflora"
"Eriosoma (Schizoneura)";"Eriosoma ulmi"
"Eulecanium excresens";"Eulecanium excrescens"
"Eulecanium gigantean";"Eulecanium gigantea"
"Euthoracaphis umbellariae";"Euthoracaphis umbellulariae "
"Euwallaceae fornicatus (Eichoff)";"Euwallacea fornicatus"
"Goniocotes reticulates";"Goniocotes reticulatus"
"Gymnocoronis spilanthoidesdc.";"Gymnocoronis spilanthoides"
"Harpalus rufibarbus";"Harpalus rufibarbis"
"Hebe cupresessoides";"Hebe cupressoides"
"Hebe parvifolia";"Hebe parviflora"
"Hebe wairiki";"Hebe waikiki"
"Hedychium flavosum";"Hedychium flavum"
"Hoya globosa";"Hoya globulosa"
"Ilex altaclarens";"Ilex altaclerensis"
