"CountryState";"Binomial";"IntrodDate"
"AFGHANISTAN";"Columba livia";1996
"ÅLAND ISLANDS";"Branta canadensis";2008
"ÅLAND ISLANDS";"Cygnus olor";1934
"ÅLAND ISLANDS";"Phasianus colchicus";1998
"ALBANIA";"Columba livia";1996
"ALBANIA";"Phasianus colchicus";1998
"ALGERIA";"Bubulcus ibis";1799
"ALGERIA";"Columba livia";1996
"ALGERIA";"Corvus monedula";1981
"ALGERIA";"Lagonosticta senegala";1940
"ALGERIA";"Stigmatopelia senegalensis";1981
"AMERICAN SAMOA";"Acridotheres fuscus";1986
"AMERICAN SAMOA";"Acridotheres tristis";1980
"AMERICAN SAMOA";"Pycnonotus cafer";1958
"ANDORRA";"Columba livia";1996
"ANDORRA";"Perdix perdix";2003
"ANDORRA";"Phasianus colchicus";1998
"ANGOLA";"Columba livia";2005
"ANGOLA";"Lonchura fringilloides";1933
"ANGUILLA ISLAND";"Columba livia";2005
"ANGUILLA ISLAND";"Gallus gallus";2005
"ANGUILLA ISLAND";"Gallus varius";2005
"ANGUILLA ISLAND";"Quiscalus lugubris";1911
"ANTIGUA AND BARBUDA";"Agapornis fischeri";2003
"ANTIGUA AND BARBUDA";"Columba livia";1981
"ANTIGUA AND BARBUDA";"Icterus icterus";1998
"ANTIGUA AND BARBUDA";"Numida meleagris";1790
"ANTIGUA AND BARBUDA";"Quiscalus lugubris";1910
"ANTIGUA AND BARBUDA";"Sicalis luteola";1920
"ANTIGUA AND BARBUDA";"Streptopelia decaocto";2003
"ARGENTINA";"Acridotheres cristatellus";1981
"ARGENTINA";"Brotogeris versicolurus";1998
"ARGENTINA";"Callipepla californica";1943
"ARGENTINA";"Carduelis carduelis";2001
"ARGENTINA";"Carduelis chloris";1900
"ARGENTINA";"Chrysolophus amherstiae";1920
"ARGENTINA";"Chrysolophus pictus";1920
"ARGENTINA";"Columba livia";1996
"ARGENTINA";"Lophura leucomelanos";1920
"ARGENTINA";"Lophura nycthemera";1920
"ARGENTINA";"Passer domesticus";1872
"ARGENTINA";"Rhea pennata";1936
"ARGENTINA";"Sturnus vulgaris";1998
"ARGENTINA";"Tachyphonus rufus";1999
"ARMENIA";"Columba livia";1996
"ARUBA";"Columba livia";2005
"ARUBA";"Passer domesticus";1978
"ARUBA";"Sicalis flaveola";2003
"AUSTRALIA Australian Capital Territory";"Acridotheres tristis";1968
"AUSTRALIA Australian Capital Territory";"Turdus merula";1949
"AUSTRALIA Australian Capital Territory";"Columba livia";1850
"AUSTRALIA New South Wales";"Acridotheres tristis";1862
"AUSTRALIA New South Wales";"Alauda arvensis";1963
"AUSTRALIA New South Wales";"Alectoris chukar";1993
"AUSTRALIA New South Wales";"Alectoris graeca";1975
"AUSTRALIA New South Wales";"Anas platyrhynchos";1861
"AUSTRALIA New South Wales";"Cacatua leadbeateri";1998
"AUSTRALIA New South Wales";"Carduelis carduelis";1880
"AUSTRALIA New South Wales";"Carduelis chloris";1889
"AUSTRALIA New South Wales";"Columba livia";1850
"AUSTRALIA New South Wales";"Cygnus olor";1897
"AUSTRALIA New South Wales";"Emberiza citrinella";1981
"AUSTRALIA New South Wales";"Euplectes albonotatus";1981
"AUSTRALIA New South Wales";"Gallus gallus";1900
"AUSTRALIA New South Wales";"Grallina cyanoleuca";1924
"AUSTRALIA New South Wales";"Lonchura malacca";1929
"AUSTRALIA New South Wales";"Lonchura punctulata";1925
"AUSTRALIA New South Wales";"Nymphicus hollandicus";1998
"AUSTRALIA New South Wales";"Passer domesticus";1864
"AUSTRALIA New South Wales";"Passer montanus";1864
"AUSTRALIA New South Wales";"Pycnonotus jocosus";1880
"AUSTRALIA New South Wales";"Stigmatopelia chinensis";1850
"AUSTRALIA New South Wales";"Sturnus vulgaris";1856
"AUSTRALIA New South Wales";"Turdus merula";1857
"AUSTRALIA New South Wales";"Turdus philomelos";1928
"AUSTRALIA New South Wales";"Tyto novaehollandiae";1920
