locationID,ISO3,ISO_1,country_code,location,location_var,gadm1_name,gadm1_var,island,gadm0_name,tdwg4_name,tdwg1,tdwg1_name,glonaf_country,adm_level,sinas_region
1,ABW,AW,AW,Aruba,,,,1,Aruba,Aruba,8,Southern America,Aruba,0,Central America and the Caribbean
2,AFG,AF,AF,Afghanistan,,,,0,Afghanistan,Afghanistan,3,Asia-Temperate,Afghanistan,0,Western Asia
3,AGO,AO,AO,Angola,,,,0,Angola,Angola,2,Africa,Angola,0,Sub-Saharan Africa
4,AIA,AI,AI,Anguilla,Anguilla Island,,,1,Anguilla,Anguilla,8,Southern America,Anguilla,0,Central America and the Caribbean
5,ALA,AX,AX,Åland,Aland Islands; Åland Islands,,,1,Åland,,1,Europe,,0,Europe
6,ALB,AL,AL,Albania,Western Palaearctic Region - Albania,,,0,Albania,Albania,1,Europe,Albania,0,Europe
7,AND,AD,AD,Andorra,,,,0,Andorra,,,Europe,,0,Europe
8,ANT,CW,CW,Curaçao,Curaçao; Curacao; CuraÃ§ao I.; Curaçao I.; Curacao I.,,,1,Curaçao,Curacao,8,Southern America,Netherlands Antilles,0,Central America and the Caribbean
9,ANT,SX,SX,Sint Maarten,Sint Maarten (Dutch part); St Maarten (NL),,,1,Sint Maarten,Netherlands Leeward Is.,8,Southern America,Netherlands Antilles,0,Central America and the Caribbean
10,ARE,AE,AE,United Arab Emirates,United Arab Em.; the United Arab Emirates,,,0,United Arab Emirates,United Arab Emirates,3,Asia-Temperate,United Arab Emirates (the),0,Saharo-Arabia
11,ARG,AR,AR,Argentina,Argentina Distrito Federal; Argentina Northeast; Argentina Northwest; Argentina South,,,0,Argentina,,8,Southern America,Argentina,0,Southern America
12,ARM,AM,AM,Armenia,,,,0,Armenia,Armenia,3,Asia-Temperate,Armenia,0,Western Asia
13,ASM,AS,AS,American Samoa,,,,1,American Samoa,,6,Pacific,American Samoa,0,Pacific
14,ATA,AQ,AQ,Antarctica,,,,0,Antarctica,Antarctica,9,Antarctic,Antarctica,0,Antarctic
15,ATF,TF,TF,Crozet Islands,Crozet; Crozet Islands Group; Crozet. Is; Îles Crozet; Crozet Is.,,,1,French Southern Territories,,9,Antarctic,French Southern Territories (the),0,Antarctic
16,ATF,TF,TF,Kerguelen Islands,Kerguelen; Kerguelen Islands (France); Kerguelen Is.,,,1,French Southern Territories,,9,Antarctic,French Southern Territories (the),0,Antarctic
17,ATF,TF,TF,Scattered Islands,Scattered; Îles Éparses; Glorioso Islands,,,1,French Southern Territories,,9,Antarctic,French Southern Territories (the),0,Antarctic
18,ATF,TF,TF,St. Paul Island,St Paul I.,,,1,French Southern Territories,,9,Antarctic,French Southern Territories (the),0,Antarctic
19,ATF,TF,TF,Amsterdam Island,Amsterdam I.,,,1,French Southern Territories,,9,Antarctic,French Southern Territories (the),0,Antarctic
20,AUS,AU,AU,Australia,Eastern Australia; South Western Australia; North Western Australia; South Western Australia; Australasian Region - Australia,,,0,Australia,,5,Australasia,Australia,0,Australasia
21,AUS,AU,AU,Tasmania,Australasian Region - Tasmania,,,1,Australia,Tasmania,5,Australasia,Australia,0,Australasia
22,AUT,AT,AT,Austria,Western Palaearctic Region - Austria,,,0,Austria,,1,Europe,Austria,0,Europe
23,AZE,AZ,AZ,Azerbaijan,,,,0,Azerbaijan,,,Asia-Temperate,,0,Western Asia
24,BDI,BI,BI,Burundi,,,,0,Burundi,Burundi,2,Africa,Burundi,0,Sub-Saharan Africa
25,BEL,BE,BE,Belgium,,,,0,Belgium,Belgium,1,Europe,Belgium,0,Europe
26,BEN,BJ,BJ,Benin,,,,0,Benin,Benin,2,Africa,Benin,0,Sub-Saharan Africa
27,BES,BQ,BQ,Bonaire,Bonaire (Netherlands),,,1,"Bonaire, Saint Eustatius and Saba",,,Southern America,,0,Central America and the Caribbean
28,BES,BQ,BQ,Saba,,,,1,"Bonaire, Saint Eustatius and Saba",,,Southern America,,0,Central America and the Caribbean
29,BES,BQ,BQ,Sint Eustatius,,,,1,"Bonaire, Saint Eustatius and Saba",,,Southern America,,0,Central America and the Caribbean
30,BFA,BF,BF,Burkina Faso,Burkina,,,0,Burkina Faso,Burkina Faso,2,Africa,Burkina Faso,0,Sub-Saharan Africa
31,BGD,BD,BD,Bangladesh,,,,0,Bangladesh,Bangladesh,4,Asia-Tropical,Bangladesh,0,Southern Asia
32,BGR,BG,BG,Bulgaria,,,,0,Bulgaria,Bulgaria,1,Europe,Bulgaria,0,Europe
33,BHR,BH,BH,Bahrain,,,,0,Bahrain,,3,Asia-Temperate,,0,Saharo-Arabia
34,BHS,BS,BS,Bahamas,"Bahamas (the); Bahamas, The",,,1,Bahamas,Bahamas,8,Southern America,Bahamas (the),0,Central America and the Caribbean
35,BIH,BA,BA,Bosnia and Herzegovina,Bosnia-Herzegovina; Bosnia and Herz.; Bosnia Herzegovina; Bosnia Herzegov.,,,0,Bosnia and Herzegovina,,,Europe,,0,Europe
36,BLM,BL,BL,Saint-Barthélemy,St Barthélemy; St. Barthélemy; Saint-Barthélemy; Barthelemy; Saint Barthelemy; Saint Barthélemy,,,1,Saint-Barthélemy,St. Martin-St. Barthelemy,8,Southern America,Saint Barthelemy,0,Central America and the Caribbean
37,BLR,BY,BY,Belarus,Western Palaearctic Region - Belarus,,,0,Belarus,Belarus,1,Europe,Belarus,0,Europe
38,BLZ,BZ,BZ,Belize,,,,0,Belize,Belize,8,Southern America,Belize,0,Central America and the Caribbean
39,BMU,BM,BM,Bermuda,Bermuda (United Kingdom),,,1,Bermuda,Bermuda,8,Southern America,Bermuda,0,Central America and the Caribbean
40,BOL,BO,BO,Bolivia,"Bolivia (Plurinational State of); Bolivia, Plurinational State of; Bolivia, Plurinational States of",,,0,Bolivia,,8,Southern America,Bolivia (Plurinational State of),0,Southern America
41,BRA,BR,BR,Brazil,Brazil North; Brazil Northeast; Brazil West-Central; Brazil Southeast; Brazil South; Southeastern Brazil; Neotropical Region - Brazil,,,0,Brazil,,8,Southern America,Brazil,0,Southern America
42,BRB,BB,BB,Barbados,,,,1,Barbados,Barbados,8,Southern America,Barbados,0,Central America and the Caribbean
43,BRN,BN,BN,Brunei,Brunei Darussalam; Brunei Darsm,,,0,Brunei,,,Asia-Tropical,,0,Southern Asia
44,BTN,BT,BT,Bhutan,,,,0,Bhutan,,,Asia-Tropical,,0,Southern Asia
45,BVT,BV,BV,Bouvet Island,,,,1,Bouvet Island,,,Antarctic,,0,Antarctic
46,BWA,BW,BW,Botswana,,,,0,Botswana,Botswana,2,Africa,Botswana,0,Sub-Saharan Africa
47,CAF,CF,CF,Central African Republic,Central African Rep.; Central African Repu; Central Afr. Rp,,,0,Central African Republic,Central African Republic,2,Africa,Central African Republic (the),0,Sub-Saharan Africa
48,CAN,CA,CA,Canada,Western Canada; Eastern Canada; Upper Canada; Lower Canada; Nearctic Region - Eastern Canada; Nearctic Region - Western Canada,,,0,Canada,,7,Northern America,Canada,0,Northern America
49,CCK,CC,CC,Cocos Islands,Keeling; Cocos (Keeling) Islands; Cocos Is. (Keel); Cocos (Keeling) Is.; Cocos-Keeling Island,,,1,Cocos Islands,,4,Asia-Tropical,Cocos (Keeling) Islands (the),0,Southern Asia
50,CHE,CH,CH,Switzerland,Western Palaearctic Region - Switzerland,,,0,Switzerland,Switzerland,1,Europe,Switzerland,0,Europe
51,CHL,CL,CL,Chile,Chile North; Chile_n; Chile South; Chile_s; Chile Central; Chile_c; Chile_nc,,,0,Chile,,8,Southern America,Chile,0,Southern America
52,CHN,CN,CN,China,China North-Central; China Southeast; China North-Central; China South-Central; Eastern Palaearctic Region - China; Eastern Palaearctic Region - China North-Central; Eastern Palaearctic Region - China South-Central; Oriental Region - China; Oriental Region - China South-Central; Oriental Region - China Southeast,,,0,China,,3,Asia-Temperate,China,0,Eastern Asia
53,CIV,CI,CI,Côte d'Ivoire,Cote D'Ivoire; Cote d'Ivoire; Ivory Coast; Côte D'ivoire; C“te d'Ivoire; Cote d'Ivore; Cote dIvoire,,,0,Côte d'Ivoire,Cote d'Ivoire,2,Africa,Côte d'Ivoire,0,Sub-Saharan Africa
54,CMR,CM,CM,Cameroon,,,,0,Cameroon,Cameroon,2,Africa,Cameroon,0,Sub-Saharan Africa
55,COD,CD,CD,Democratic Republic of the Congo,"Congo, Democratic Republic of; Congo (the Democratic Republic of the); Congo, Democratic Republic of the; DR Congo; Democratic Republic of Congo; Congo, Dem. Rep.; Dem. Rep. Congo; Congo Dem Rp; Congo, the Democratic Republic of the; Congo, Republic of the",,,0,Democratic Republic of the Congo,Democratic Republic of the Congo,2,Africa,Congo (the Democratic Republic of the),0,Sub-Saharan Africa
56,COG,CG,CG,Republic of the Congo,"Republic of Congo; Congo, Republic of; Congo, Rep.; Congo",,,0,Republic of Congo,Congo,2,Africa,Congo (the),0,Sub-Saharan Africa
57,COK,CK,CK,Cook Islands,Cook Is.; Cook Isds; Cook Is.,,,1,Cook Islands,,6,Pacific,Cook Islands (the),0,Pacific
58,COL,CO,CO,Colombia,Neotropical Region - Colombia,,,0,Colombia,Colombia,8,Southern America,Colombia,0,Southern America
59,COM,KM,KM,Comoros,,,,1,Comoros,Comoros,2,Africa,Comoros (the),0,Sub-Saharan Africa
60,CPV,CV,CV,Cape Verde,Cabo Verde; Cape Verde Islands; Cape Verde archipelago,,,1,Cabo Verde,Cape Verde,2,Africa,Cabo Verde,0,Sub-Saharan Africa
61,CRI,CR,CR,Costa Rica,Cocos I. (C.R.); Cocos Island (Costa Rica); Neotropical Region - Costa Rica,,,0,Costa Rica,Costa Rica,8,Southern America,Costa Rica,0,Central America and the Caribbean
62,CUB,CU,CU,Cuba,Neotropical Region - Cuba,,,1,Cuba,Cuba,8,Southern America,Cuba,0,Central America and the Caribbean
63,CXR,CX,CX,Christmas Island,Christmas I.,,,1,Christmas Island,Christmas Island,4,Asia-Tropical,Christmas Island,0,Southern Asia
