habitat_standard,habitat_var,,,,,
brackish,brackish,,,,,
"brackish, freshwater, marine",Freshwater|Brackish|Marine,,,,,
"Brackish, freshwater, marine, terrestrial",Terrestrial|Freshwater|Brackish|Marine,,,,,
"brackish, marine","Brackish|Marine; marine, estuarine; marine,estuarine",,,,,
"Brackish, marine, terrestrial","Terrestrial,freshwater,marine,estuarine",,,,,
"brackish, terrestrial",Terrestrial|Brackish,,,,,
freshwater,"freshwater; freshwater lake,ponds,wetlands,roadside ditches; lakes,ponds,moist arable lands, paddy fields; Wetlands, ponds,lakes slow running streams",,,,,
"Freshwater, brackish",Freshwater|Brackish,,,,,
"freshwater, marine",Freshwater|Marine,,,,,
"freshwater, terrestrial","Terrestrial|Freshwater; Terrestrial, freshwater; Fallow land, forest margins,wetlands; Forest clearing,flood plains,riverbanks; Wetlands, rice fields, marshy fallow land; Wetlands,rice fields, slow running streams",,,,,
marine,marine,,,,,
"marine, terrestrial",Terrestrial|Marine,,,,,
terrestrial,"terrestrial; open areas, degraded forest; terrestrial|host; agricultural and fallow land; agricaltural land and abandoned area; open habitat, forest edgs, shrub lands; agricultural land,roadsides,grasslands; disturbed habitats, cultivated lands; Moist fallow land, forest edges; Agricultural land, orchards and nurseries; Agricultural land,moist fallow land,forest margins, roadsides; cultivated land, botanical gardens, parks, buildings; cultivated land, botanical gardens, parks; forests, buildings, industrial and human",,,,,
"terrestrial, freshwater, brackish",Terrestrial|Freshwater|Brackish,,,,,
"terrestrial, freshwater, marine",Terrestrial|Freshwater|Marine,,,,,
