origTerm_degreeOfEstablishment,standardTerm_degreeOfEstablishment,origTerm_establishmentMeans,standardTerm_establishmentMeans,origTerm_habitat,standardTerm_habitat,origTerm_occurrenceStatus,standardTerm_occurrenceStatus,origTerm_pathway,standardTerm_pathway,origTerm_datasetName,standardTerm_datasetName,bibliographicCitation_dataset
captive,captive,nonindigenous,introduced,Terrestrial|Freshwater|Brackish,terrestrial; freshwater; brackish,,,"Conservation, Zoo",Release in nature: Introduction for conservation purposes,GAVIA,GAVIA,"Dyer, E., Redding, D. & Blackburn, T. The global avian invasions atlas, a database of alien bird distributions worldwide. Sci Data 4, 170041 (2017). https://doi.org/10.1038/sdata.2017.41"
alien/exotic (in captivity),captive,established,introduced,Terrestrial|Brackish,terrestrial; brackish,Not applicable NA,uncertain,Conservation (L),Release in nature: Introduction for conservation purposes,GISD,GISD,"Global Invasive Species Database (GISD), Invasive Species Specialists Group (ISSG) (http://www.issg.org/database/welcome/aboutGISD.asp)"
In captivity/culture,captive; cultivated,naturalised,introduced,Brackish,brackish,uncertain,uncertain,Conservation,Release in nature: Introduction for conservation purposes,Global alien spiders database,Global alien spiders database,
alien (reported as captive/cultivated),captive; cultivated,established.indoors,introduced,,,Not known,uncertain,Wild Fur,Escape from confinement: Fur farms,APASD/NIAES,APASD,"Asian-Pacific Alien Species Database (APASD), National Institute for Agro-Environmental Sciences, Japan (http://www.niaes.affrc.go.jp/techdoc/apasd/menu.html), accessed 08.11.2020"
introduced (reported as captive/cultivated to present),captive; cultivated,alien,introduced,marine; brackish,brackish; marine,possibly extinct,uncertain,Hunting (L),Release in nature: Hunting in the wild,DAISIE,DAISIE,Delivering Alien Invasive Species Inventories for Europe (DAISIE) (http://www.europe-aliens.org/)
casual,casual,exotic,introduced,Brackish|Marine,brackish; marine,probably extant,uncertain,Release in nature: Hunting in the wild,Release in nature: Hunting in the wild,Consortium of California Herbaria,Consortium of California Herbaria,Consortium of California Herbaria (http://ucjeps.berkeley.edu/consortium/); data provided by David Baxter
Extinct casual,casual,naturalized,introduced,Freshwater|Marine,freshwater; marine,Extinct casual,uncertain,Release in nature: Release in nature for use,Release in nature: Release in nature for use,I3N 2017,I3N,
Cas,casual,casual,introduced,Terrestrial|Marine,terrestrial; marine,Cs,present,Escaped,Escape from confinement,APASD,APASD,"Asian-Pacific Alien Species Database (APASD), National Institute for Agro-Environmental Sciences, Japan (http://www.niaes.affrc.go.jp/techdoc/apasd/menu.html), accessed 08.11.2020"
New casual,casual,established.outdoors,introduced,,,Casual,present,Fur Farming,Escape from confinement: Fur farms,FAO,"FAO-ILRI Best bet forages species for different edapho-climatic conditions
","Sotelo M; Cardoso JA. 2019. Best bet forages species for different edapho-climatic conditions. International Center for Tropical Agriculture, Cali, Colombia."
Old casual,casual,Introduced/alien (present),introduced,,,Cas,present,Horticulture,Escape from confinement: Horticulture,Banerjee 2020,ILORA datasets,"Banerjee, Achyut Kumar, 2020, ""ILORA_datasets"", https://doi.org/10.7910/DVN/VUPNIT, Harvard Dataverse, V1; ILORA_Introduction.tab [fileName]"
