"Species";"Group"
"Acris crepitans";"Amphibia"
"Acrochordus javanicus";"Reptilia"
"Actinemys marmorata";"Reptilia"
"Actinemys marmorata";"Reptilia"
"Afrogecko porphyreus";"Reptilia"
"Agama agama";"Reptilia"
"Agama agama";"Reptilia"
"Agama agama";"Reptilia"
"Agama agama";"Reptilia"
"Agama agama";"Reptilia"
"Agama agama";"Reptilia"
"Agkistrodon piscivorus";"Reptilia"
"Agkistrodon piscivorus";"Reptilia"
"Agkistrodon piscivorus";"Reptilia"
"Aldabrachelys gigantea";"Reptilia"
"Aldabrachelys gigantea";"Reptilia"
"Aldabrachelys gigantea";"Reptilia"
"Alligator mississippiensis";"Reptilia"
"Alligator mississippiensis";"Reptilia"
"Alligator mississippiensis";"Reptilia"
"Alligator mississippiensis";"Reptilia"
"Alligator mississippiensis";"Reptilia"
"Alligator mississippiensis";"Reptilia"
"Alligator mississippiensis";"Reptilia"
"Alligator mississippiensis";"Reptilia"
"Alsophis rufiventris";"Reptilia"
"Alytes obstetricans";"Amphibia"
"Alytes obstetricans";"Amphibia"
"Alytes obstetricans";"Amphibia"
"Amblyrhynchus cristatus";"Reptilia"
"Ambystoma macrodactylum";"Amphibia"
"Ambystoma mexicanum";"Amphibia"
"Ambystoma mexicanum";"Amphibia"
"Ambystoma mexicanum";"Amphibia"
"Ambystoma tigrinum";"Amphibia"
"Ambystoma tigrinum";"Amphibia"
"Ambystoma tigrinum";"Amphibia"
"Ambystoma tigrinum";"Amphibia"
"Ambystoma tigrinum";"Amphibia"
"Ambystoma tigrinum";"Amphibia"
"Ambystoma tigrinum";"Amphibia"
"Ambystoma tigrinum";"Amphibia"
"Ambystoma tremblayi";"Amphibia"
"Ameiva ameiva";"Reptilia"
"Ameiva ameiva";"Reptilia"
"Ameiva exsul";"Reptilia"
"Amietophrynus gutturalis";"Amphibia"
"Amietophrynus gutturalis";"Amphibia"
"Amietophrynus gutturalis";"Amphibia"
"Amietophrynus gutturalis";"Amphibia"
"Amietophrynus regularis";"Amphibia"
"Amietophrynus regularis";"Amphibia"
"Amphisbaena fuliginosa";"Reptilia"
"Amphisbaena fuliginosa";"Reptilia"
"Amphisbaena fuliginosa";"Reptilia"
"Amyda cartilaginea";"Reptilia"
"Anaxyrus americanus ";"Amphibia"
"Anaxyrus americanus ";"Amphibia"
"Anaxyrus boreas";"Amphibia"
"Anaxyrus fowleri";"Amphibia"
"Andrias davidianus";"Amphibia"
"Andrias japonicus";"Amphibia"
"Aneides vagrans";"Amphibia"
"Aneides vagrans";"Amphibia"
"Anguis fragilis";"Reptilia"
"Anolis aeneus";"Reptilia"
"Anolis baleatus";"Reptilia"
"Anolis bimaculatus";"Reptilia"
"Anolis carolinensis";"Reptilia"
"Anolis carolinensis";"Reptilia"
"Anolis carolinensis";"Reptilia"
"Anolis carolinensis";"Reptilia"
"Anolis carolinensis";"Reptilia"
"Anolis carolinensis";"Reptilia"
"Anolis carolinensis";"Reptilia"
"Anolis carolinensis";"Reptilia"
"Anolis carolinensis";"Reptilia"
"Anolis carolinensis";"Reptilia"
"Anolis carolinensis";"Reptilia"
"Anolis carolinensis";"Reptilia"
"Anolis carolinensis";"Reptilia"
"Anolis carolinensis";"Reptilia"
"Anolis carolinensis";"Reptilia"
"Anolis carolinensis";"Reptilia"
"Anolis carolinensis";"Reptilia"
"Anolis carolinensis";"Reptilia"
"Anolis carolinensis";"Reptilia"
"Anolis chlorocyanus";"Reptilia"
"Anolis chlorocyanus";"Reptilia"
"Anolis chlorocyanus";"Reptilia"
"Anolis conspersus";"Reptilia"
"Anolis cristatellus";"Reptilia"
"Anolis cristatellus";"Reptilia"
"Anolis cristatellus";"Reptilia"
"Anolis cristatellus";"Reptilia"
"Anolis cristatellus";"Reptilia"
"Anolis cristatellus";"Reptilia"
"Anolis cristatellus";"Reptilia"
"Anolis cybotes";"Reptilia"
"Anolis cybotes";"Reptilia"
"Anolis cybotes";"Reptilia"
"Anolis distichus";"Reptilia"
"Anolis distichus";"Reptilia"
"Anolis distichus";"Reptilia"
"Anolis distichus";"Reptilia"
"Anolis equestris";"Reptilia"
"Anolis equestris";"Reptilia"
"Anolis equestris";"Reptilia"
"Anolis extremus";"Reptilia"
"Anolis extremus";"Reptilia"
"Anolis extremus";"Reptilia"
"Anolis extremus";"Reptilia"
"Anolis extremus";"Reptilia"
"Anolis extremus";"Reptilia"
"Anolis ferreus";"Reptilia"
"Anolis garmani";"Reptilia"
"Anolis garmani";"Reptilia"
"Anolis garmani";"Reptilia"
"Anolis grahami";"Reptilia"
"Anolis leachii";"Reptilia"
"Anolis leachii";"Reptilia"
"Anolis lineatus";"Reptilia"
"Anolis lucius";"Reptilia"
"Anolis marmoratus";"Reptilia"
"Anolis maynardi";"Reptilia"
"Anolis porcatus";"Reptilia"
"Anolis porcatus";"Reptilia"
"Anolis porcatus";"Reptilia"
"Anolis porcatus";"Reptilia"
"Anolis pulchellus";"Reptilia"
"Anolis richardii";"Reptilia"
"Anolis richardii";"Reptilia"
"Anolis roquet";"Reptilia"
"Anolis trinitatis";"Reptilia"
"Anolis wattsi";"Reptilia"
"Anolis wattsi";"Reptilia"
"Anolis wattsi";"Reptilia"
"Apalone ferox";"Reptilia"
"Apalone ferox";"Reptilia"
"Apalone ferox";"Reptilia"
"Apalone spinifera";"Reptilia"
"Apalone spinifera";"Reptilia"
"Apalone spinifera";"Reptilia"
"Apalone spinifera";"Reptilia"
"Apalone spinifera";"Reptilia"
"Apalone spinifera";"Reptilia"
"Apalone spinifera";"Reptilia"
"Apalone spinifera";"Reptilia"
"Apalone spinifera";"Reptilia"
"Apalone spinifera";"Reptilia"
"Apalone spinifera";"Reptilia"
"Apalone spinifera";"Reptilia"
"Apalone spinifera";"Reptilia"
"Apalone spinifera";"Reptilia"
"Aspidoscelis motaguae";"Reptilia"
"Aspidoscelis motaguae";"Reptilia"
"Aspidoscelis neomexicana";"Reptilia"
"Aspidoscelis neomexicana";"Reptilia"
"Aspidoscelis neotesselata";"Reptilia"
"Aspidoscelis velox";"Reptilia"
"Astrochelys radiata";"Reptilia"
"Astrochelys radiata";"Reptilia"
"Atelopus zeteki";"Amphibia"
"Basiliscus basiliscus";"Reptilia"
"Basiliscus plumifrons";"Reptilia"
"Basiliscus plumifrons";"Reptilia"
"Basiliscus vittatus";"Reptilia"
"Basiliscus vittatus";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boa constrictor";"Reptilia"
"Boaedon fuliginosus";"Reptilia"
"Boaedon fuliginosus";"Reptilia"
"Boiga irregularis";"Reptilia"
"Boiga irregularis";"Reptilia"
"Boiga irregularis";"Reptilia"
"Boiga irregularis";"Reptilia"
"Boiga irregularis";"Reptilia"
"Boiga irregularis";"Reptilia"
"Boiga irregularis";"Reptilia"
"Boiga irregularis";"Reptilia"
"Boiga irregularis";"Reptilia"
"Boiga irregularis";"Reptilia"
"Boiga irregularis";"Reptilia"
"Bolitoglossa rufescens";"Amphibia"
"Bombina bombina";"Amphibia"
"Bombina variegata";"Amphibia"
"Bothriechis schlegelii";"Reptilia"
"Bothriechis schlegelii";"Reptilia"
"Brachylophus bulabula";"Reptilia"
"Brachylophus fasciatus";"Reptilia"
"Bradypodion pumilum";"Reptilia"
"Bufo bufo";"Amphibia"
"Bufo dhufarensis";"Amphibia"
"Bufo gargarizans";"Amphibia"
"Bufo mauritanicus";"Amphibia"
"Bufo mauritanicus";"Amphibia"
"Bufo stomaticus";"Amphibia"
"Bufotes viridis";"Amphibia"
"Bungarus fasciatus";"Reptilia"
"Bungarus fasciatus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Caiman crocodilus";"Reptilia"
"Calotes mystaceus";"Reptilia"
"Calotes mystaceus";"Reptilia"
"Calotes versicolor";"Reptilia"
"Calotes versicolor";"Reptilia"
"Calotes versicolor";"Reptilia"
"Calotes versicolor";"Reptilia"
"Calotes versicolor";"Reptilia"
"Calotes versicolor";"Reptilia"
"Calotes versicolor";"Reptilia"
"Calotes versicolor";"Reptilia"
"Calotes versicolor";"Reptilia"
"Calotes versicolor";"Reptilia"
"Calotes versicolor";"Reptilia"
"Calotes versicolor";"Reptilia"
"Candoia bibroni";"Reptilia"
"Carlia ailanpalai";"Reptilia"
"Carlia ailanpalai";"Reptilia"
"Carlia ailanpalai";"Reptilia"
"Carlia schmeltzii";"Reptilia"
"Carlia tutela";"Reptilia"
"Carphophis amoenus";"Reptilia"
"Centrochelys sulcata";"Reptilia"
"Chalcides chalcides";"Reptilia"
"Chalcides ocellatus";"Reptilia"
"Chalcides ocellatus";"Reptilia"
"Chalcides ocellatus";"Reptilia"
"Chalcides ocellatus";"Reptilia"
"Chalcides ocellatus";"Reptilia"
"Chalcides ocellatus";"Reptilia"
"Chalcides ocellatus";"Reptilia"
"Chalcides ocellatus";"Reptilia"
"Chalcides ocellatus";"Reptilia"
"Chalcides viridanus";"Reptilia"
