locationID,location,verbatimLocation,region
1,Aruba,ARUBA,Central America and the Caribbean
2,Afghanistan,AFGHANISTAN,Western Asia
3,Angola,Zaire,Sub-Saharan Africa
3,Angola,Angola,Sub-Saharan Africa
4,Anguilla,Anguilla,Central America and the Caribbean
4,Anguilla,ANGUILLA ISLAND,Central America and the Caribbean
5,Åland,�LAND ISLANDS,Europe
6,Albania,Albania,Europe
7,Andorra,ANDORRA,Europe
8,Curaçao,Curacao,Central America and the Caribbean
9,Sint Maarten,Sint Maarten,Central America and the Caribbean
10,United Arab Emirates,UNITED ARAB EMIRATES,Saharo-Arabia
11,Argentina,Argentina,Southern America
11,Argentina,Argentine,Southern America
12,Armenia,ARMENIA,Western Asia
13,American Samoa,AMERICAN SAMOA,Pacific
14,Antarctica,South Orkney Islands,Antarctic
14,Antarctica,North-west Antarctic Peninsula,Antarctic
14,Antarctica,East Antarctica,Antarctic
14,Antarctica,Ross Ice Shelf,Antarctic
14,Antarctica,South Victoria Land,Antarctic
14,Antarctica,Adelie Land,Antarctic
14,Antarctica,East Antarctic Ice Sheet,Antarctic
14,Antarctica,Ellsworth Mountains,Antarctic
14,Antarctica,Larsen Ice Shelf,Antarctic
14,Antarctica,North Victoria Land,Antarctic
14,Antarctica,South Antarctic Peninsula,Antarctic
14,Antarctica,Transantarctic Mountains,Antarctic
14,Antarctica,Enderby Land,Antarctic
14,Antarctica,Filchner Ice Shelf,Antarctic
14,Antarctica,Brunt Ice Shelf,Antarctic
15,Crozet Islands,Crozet,Antarctic
15,Crozet Islands,Crozet Island Group,Antarctic
16,Kerguelen Islands,Kerguelen,Antarctic
16,Kerguelen Islands,Kerguelen Islands,Antarctic
16,Kerguelen Islands,Kerguelen Island,Antarctic
19,Amsterdam Island,Amsterdam Islands,Antarctic
20,Australia,Australia,Australasia
20,Australia,AUSTRALIA Australian Capital Territory,Australasia
20,Australia,AUSTRALIA New South Wales,Australasia
20,Australia,AUSTRALIA Northern Territory,Australasia
20,Australia,AUSTRALIA Queensland,Australasia
20,Australia,AUSTRALIA South Australia,Australasia
20,Australia,AUSTRALIA Victoria,Australasia
20,Australia,AUSTRALIA Western Australia,Australasia
20,Australia,Australia ,Australasia
20,Australia,West Australia,Australasia
20,Australia,Autralia,Australasia
21,Tasmania,AUSTRALIA Tasmania,Australasia
21,Tasmania,Tasmania,Australasia
22,Austria,Austria,Europe
23,Azerbaijan,Azerbaijan,Western Asia
24,Burundi,Burundi,Sub-Saharan Africa
25,Belgium,Belgium,Europe
26,Benin,Benin,Sub-Saharan Africa
27,Bonaire,Bonaire,Central America and the Caribbean
30,Burkina Faso,BURKINA FASO,Sub-Saharan Africa
31,Bangladesh,Bangladesh,Southern Asia
32,Bulgaria,Bulgaria,Europe
33,Bahrain,BAHRAIN,Saharo-Arabia
34,Bahamas,Bahamas,Central America and the Caribbean
35,Bosnia and Herzegovina,Bosnia,Europe
35,Bosnia and Herzegovina,Bosnia and Herzegovina,Europe
35,Bosnia and Herzegovina,Bosnia-Hercegovina,Europe
36,Saint-Barthélemy,Saint Barthelemy,Central America and the Caribbean
37,Belarus,Belarus,Europe
38,Belize,Belize,Central America and the Caribbean
39,Bermuda,Bermuda,Central America and the Caribbean
40,Bolivia,Bolivia,Southern America
41,Brazil,Brazil,Southern America
42,Barbados,Barbados,Central America and the Caribbean
43,Brunei,BRUNEI DARUSSALAM,Southern Asia
44,Bhutan,Bhutan,Southern Asia
46,Botswana,BOTSWANA,Sub-Saharan Africa
47,Central African Republic,Central African Republic,Sub-Saharan Africa
48,Canada,Canada,Northern America
48,Canada,Quebec,Northern America
48,Canada,CANADA British Columbia,Northern America
48,Canada,Canada British Columbia ,Northern America
48,Canada,Canada Nova Scotia,Northern America
48,Canada,Canada Ontario,Northern America
48,Canada,Canada Qu�bec ,Northern America
48,Canada,British Columbia,Northern America
48,Canada,CANADA Newfoundland and Labrador,Northern America
48,Canada,CANADA Quebec,Northern America
48,Canada,CANADA Saskatchewan,Northern America
48,Canada,CANADA Prince Edward Island,Northern America
48,Canada,CANADA Manitoba,Northern America
48,Canada, Canada,Northern America
48,Canada,CANADA New Brunswick,Northern America
48,Canada,Prince Edward Island,Northern America
48,Canada,CANADA Alberta,Northern America
48,Canada,CANADA Northwest Territories,Northern America
48,Canada,CANADA Yukon,Northern America
48,Canada,Canada Prince Edward Island ,Northern America
48,Canada,Canada ,Northern America
48,Canada,Canada Newfoundland,Northern America
48,Canada,CANADA Nunavut,Northern America
49,Cocos Islands,Cocos (Keeling) Islands,Southern Asia
49,Cocos Islands,Cocos Islands,Southern Asia
50,Switzerland,Switzerland,Europe
50,Switzerland,Schweiz,Europe
51,Chile,Chile,Southern America
52,China,China,Eastern Asia
52,China,China (Chongqing),Eastern Asia
52,China,China (Fujian),Eastern Asia
52,China,China (Guangdong),Eastern Asia
52,China,China (Guangxi),Eastern Asia
52,China,China (Guizhou),Eastern Asia
52,China,China (Hainan),Eastern Asia
52,China,China (Hubei),Eastern Asia
52,China,China (Hunan),Eastern Asia
52,China,China (Jiangsu),Eastern Asia
52,China,China (Jiangxi),Eastern Asia
52,China,China (Shandong),Eastern Asia
52,China,China (Shanxi),Eastern Asia
52,China,China (Shenxi),Eastern Asia
52,China,China (Yunnan),Eastern Asia
52,China,China (Anhui),Eastern Asia
52,China,China (Beijing),Eastern Asia
52,China,China (Gansu),Eastern Asia
52,China,China (Hebei),Eastern Asia
52,China,China (Heilongjiang),Eastern Asia
52,China,China (Henan),Eastern Asia
52,China,China (Inner Mongolia),Eastern Asia
52,China,China (Jilin),Eastern Asia
52,China,China (Liaoning),Eastern Asia
52,China,China (Ningxia),Eastern Asia
52,China,China (Qinghai),Eastern Asia
52,China,China (Shanghai),Eastern Asia
52,China,China (Sichuan),Eastern Asia
52,China,China (Tianjin),Eastern Asia
52,China,China (Xinjiang),Eastern Asia
52,China,China (Zhejiang),Eastern Asia
52,China,China (Tibet),Eastern Asia
52,China,"China(BJ, HA, HE, LN, SD, SN, SX, TJ)",Eastern Asia
52,China,"China(HL, JL, BJ, HA, HE, LN, SD, SN, SX, TJ, GS, NM, NX, XJ, QH, XZ)",Eastern Asia
52,China,"China(HL, JL, BJ, HA, HE, LN, SD, SN, SX, TJ, XJ)",Eastern Asia
52,China,"China(HL, JL)",Eastern Asia
52,China,"China(HL, JL, GS, NM, NX)",Eastern Asia
52,China,"China(HL, JL, BJ, HA, HE, LN, SD, SN, SX, TJ, GS, NM, NX)",Eastern Asia
52,China,"China(BJ, HA, HE, LN, SD, SN, SX, TJ, GS, NM, NX)",Eastern Asia
52,China,"Mainland, China",Eastern Asia
52,China,"China(BJ, HA, HE, LN, SD, SN, SX, TJ, XJ)",Eastern Asia
53,Côte d'Ivoire,Cote d'Ivoire,Sub-Saharan Africa
53,Côte d'Ivoire,C�te d'Ivoire,Sub-Saharan Africa
54,Cameroon,Cameroon,Sub-Saharan Africa
55,Democratic Republic of the Congo,DR Congo,Sub-Saharan Africa
55,Democratic Republic of the Congo,"Congo, Democratic Republic of the",Sub-Saharan Africa
55,Democratic Republic of the Congo,Congo Democratic Republic,Sub-Saharan Africa
55,Democratic Republic of the Congo,"Congo, Democratic Republic of",Sub-Saharan Africa
55,Democratic Republic of the Congo,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",Sub-Saharan Africa
56,Republic of the Congo,Congo,Sub-Saharan Africa
56,Republic of the Congo,"Congo, Republic of",Sub-Saharan Africa
57,Cook Islands,COOK ISLANDS,Pacific
58,Colombia,Colombia,Southern America
59,Comoros,COMOROS,Sub-Saharan Africa
60,Cape Verde,CAPE VERDE,Sub-Saharan Africa
61,Costa Rica,Costa Rica,Central America and the Caribbean
62,Cuba,Cuba,Central America and the Caribbean
63,Christmas Island,CHRISTMAS ISLAND,Southern Asia
63,Christmas Island,Christmas Island (Indian Ocean),Southern Asia
64,Cayman Islands,Cayman Islands,Central America and the Caribbean
64,Cayman Islands,Cayman Island,Central America and the Caribbean
65,Cyprus,Cyprus,Western Asia
65,Cyprus,Cyprus ,Western Asia
66,Czech Republic,Czech Republic,Europe
66,Czech Republic,Czech Repoublic,Europe
67,Germany,Germany,Europe
67,Germany,Germany (mainland),Europe
68,Djibouti,DJIBOUTI,Sub-Saharan Africa
69,Dominica,Dominica,Central America and the Caribbean
70,Denmark,Denmark,Europe
71,Dominican Republic,Dominican Republic,Central America and the Caribbean
72,Algeria,Algeria,Saharo-Arabia
73,Ecuador,ECUADOR,Southern America
74,Galapagos,Galapagos,Southern America
74,Galapagos,Galapagos Islands,Southern America
75,Egypt,Egypt,Saharo-Arabia
75,Egypt,Egypt  ,Saharo-Arabia
76,Eritrea,ERITREA,Sub-Saharan Africa
77,Western Sahara,WESTERN SAHARA,Saharo-Arabia
78,Balearic Islands,Balearic Islands,Europe
78,Balearic Islands,Baleares,Europe
78,Balearic Islands,Spain (Balearic Islands),Europe
79,Canary Islands,Canary Island,Sub-Saharan Africa
79,Canary Islands,Spain (Canary islands),Sub-Saharan Africa
79,Canary Islands,Canary Is,Sub-Saharan Africa
79,Canary Islands,Canary Islands,Sub-Saharan Africa
80,Spain,Spain,Europe
80,Spain,Spain (mainland),Europe
80,Spain,Spain ,Europe
81,Estonia,Estonia,Europe
82,Ethiopia,Ethiopia,Sub-Saharan Africa
83,Finland,Finland,Europe
83,Finland,Finland (mainland),Europe
84,Fiji,FIJI ISLAND,Pacific
84,Fiji,Fiji,Pacific
85,Falkland Islands,Falklands/Malvinas,Antarctic
85,Falkland Islands,FALKLAND ISLANDS (MALVINAS),Antarctic
85,Falkland Islands,Falkland Islands,Antarctic
85,Falkland Islands,Falkland,Antarctic
86,France,France (mainland),Europe
86,France,France,Europe
87,Faroe Islands,Faroe Islands,Europe
88,Micronesia,"MICRONESIA, FEDERATED STATES OF",Pacific
88,Micronesia,Micronesia,Pacific
89,Gabon,Gabon,Sub-Saharan Africa
91,United Kingdom,England,Europe
91,United Kingdom,Northern Ireland,Europe
91,United Kingdom,Scotland,Europe
91,United Kingdom,Wales,Europe
91,United Kingdom,United Kingdom,Europe
91,United Kingdom,United Kingdom of Great Britain and Northern Ireland,Europe
91,United Kingdom,Great Britain,Europe
91,United Kingdom,United Kingdom (Britain),Europe
91,United Kingdom,UK,Europe
92,Georgia,Georgia,Western Asia
92,Georgia,Georgia (Republic of),Western Asia
94,Ghana,Ghana,Sub-Saharan Africa
95,Gibraltar,GIBRALTAR,Europe
96,Guinea,GUINEA,Sub-Saharan Africa
97,Guadeloupe,Guadeloupe,Central America and the Caribbean
98,Gambia,GAMBIA,Sub-Saharan Africa
99,Guinea-Bissau,GUINEA-BISSAU,Sub-Saharan Africa
100,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa
101,Aegean,Greece (South aegean),Europe
101,Aegean,Greece (South Aegaean islands),Europe
101,Aegean,Greece (South Aegean Islands),Europe
101,Aegean,Greece (North Aegean),Europe
102,Crete,Greece (Crete),Europe
102,Crete,Crete,Europe
103,Greece,Greece,Europe
103,Greece,Greece (mainland),Europe
103,Greece,Greece (Ionian islands),Europe
103,Greece,Greece ,Europe
103,Greece,Greece (Greece-Ionian islands),Europe
104,Grenada,Grenada,Central America and the Caribbean
105,Greenland,GREENLAND,Northern America
106,Guatemala,Guatemala,Central America and the Caribbean
107,French Guiana,French Guiana,Southern America
108,Guam,Guam,Pacific
109,Guyana,Guyana,Southern America
109,Guyana,Guyane,Southern America
110,Hong Kong,China (Hongkong),Eastern Asia
110,Hong Kong,Hong Kong,Eastern Asia
110,Hong Kong,Hong-Kong,Eastern Asia
110,Hong Kong,Hon Kong,Eastern Asia
111,Heard Island and McDonald Island,Heard and McDonald Islands,Antarctic
112,Honduras,Honduras,Central America and the Caribbean
113,Croatia,Croatia,Europe
114,Haiti,Haiti,Central America and the Caribbean
115,Hungary,Hungary,Europe
116,Indonesia,Malesia (Java),Southern Asia
116,Indonesia,INDONESIA,Southern Asia
116,Indonesia,Java,Southern Asia
116,Indonesia,Malesia (Sumatra),Southern Asia
116,Indonesia,Malesia (Maluku),Southern Asia
116,Indonesia,Malesia (Sulawesi),Southern Asia
116,Indonesia,Bali,Southern Asia
116,Indonesia,Sulawesi,Southern Asia
118,India,India,Southern Asia
118,India,India ,Southern Asia
118,India,India (South),Southern Asia
119,Nicobar and Andaman Islands,Andaman and Nicobar Islands,Southern Asia
120,Chagos Archipelago,Chagos Archipelago,Southern Asia
121,Ireland,Ireland,Europe
122,Iran,Iran,Western Asia
122,Iran,"IRAN, ISLAMIC REPUBLIC OF",Western Asia
123,Iraq,IRAQ,Saharo-Arabia
124,Iceland,Iceland,Europe
125,Israel,Israel,Saharo-Arabia
126,Italy,Italy (mainland),Europe
126,Italy,Italy,Europe
126,Italy,Italy  ,Europe
127,Sardinia,Sardegna (Sardinia),Europe
127,Sardinia,Italy (Italy- Sardinia),Europe
127,Sardinia,Italy (Sardinia),Europe
127,Sardinia,Sardinia,Europe
127,Sardinia,Italy (Italy-sardinia),Europe
128,Sicily,Italy (Italy- Sicily),Europe
128,Sicily,Sicilia,Europe
128,Sicily,Sicilia (Sicily),Europe
128,Sicily,Italy (Sicily),Europe
128,Sicily,Sicily,Europe
129,Jamaica,Jamaica,Central America and the Caribbean
131,Jordan,JORDAN,Saharo-Arabia
132,Japan,Japan,Eastern Asia
132,Japan,Japan ,Eastern Asia
132,Japan,Ryukyu Islands,Eastern Asia
132,Japan,Fuji,Eastern Asia
133,Kazakhstan,Kazakhstan,Western Asia
134,Kenya,Kenya,Sub-Saharan Africa
135,Kyrgyzstan,Kyrgyzstan,Western Asia
135,Kyrgyzstan,Kyrgystan,Western Asia
135,Kyrgyzstan,Kirgizstan,Western Asia
136,Cambodia,Cambodia,Southern Asia
137,Kiribati,KIRIBATI,Pacific
137,Kiribati,Phoenix Islands,Pacific
138,Saint Kitts and Nevis,Saint Kitts and Nevis,Central America and the Caribbean
138,Saint Kitts and Nevis,Nevis,Central America and the Caribbean
139,South Korea,South Korea,Eastern Asia
139,South Korea,"Korea, Republic of",Eastern Asia
139,South Korea,Korea,Eastern Asia
140,Kuwait,KUWAIT,Saharo-Arabia
141,Laos,Laos,Southern Asia
141,Laos,LAO PEOPLE'S DEMOCRATIC REPUBLIC,Southern Asia
142,Lebanon,Lebanon,Saharo-Arabia
143,Liberia,LIBERIA,Sub-Saharan Africa
144,Libya,Libya,Saharo-Arabia
144,Libya,LIBYAN ARAB JAMAHIRIYA,Saharo-Arabia
145,Saint Lucia,Saint Lucia,Central America and the Caribbean
146,Liechtenstein,Liechtenstein,Europe
146,Liechtenstein,Lichtenstein,Europe
147,Sri Lanka,Sri Lanka,Southern Asia
147,Sri Lanka,Sri Lanka ,Southern Asia
148,Lesotho,LESOTHO,Sub-Saharan Africa
149,Lithuania,Lithuania,Europe
150,Luxembourg,Luxembourg,Europe
150,Luxembourg,Luxemburg,Europe
151,Latvia,Latvia,Europe
152,Macao,China (Macao),Eastern Asia
152,Macao,Macao,Eastern Asia
153,Saint-Martin,Saint Martin,Central America and the Caribbean
153,Saint-Martin,St Martin,Central America and the Caribbean
154,Morocco,Morocco,Saharo-Arabia
155,Monaco,MONACO,Europe
156,Moldova,Moldova,Europe
156,Moldova,"Moldova, Republic of",Europe
157,Madagascar,Madagascar,Sub-Saharan Africa
158,Maldives,MALDIVES,Southern Asia
159,Mexico,Mexico,Northern America
159,Mexico,Mexico ,Northern America
160,Marshall Islands,MARSHALL ISLANDS,Pacific
161,North Macedonia,"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",Europe
161,North Macedonia,FYRM  (Macedonia),Europe
161,North Macedonia,Macedonia,Europe
161,North Macedonia,FYRM,Europe
161,North Macedonia,North Macedonia,Europe
162,Mali,MALI,Sub-Saharan Africa
163,Malta,Malta,Europe
164,Myanmar,Myanmar,Southern Asia
164,Myanmar,Burma,Southern Asia
165,Montenegro,Montenegro,Europe
166,Mongolia,Mongolia,Eastern Asia
167,Northern Mariana Islands,NORTHERN MARIANA ISLANDS,Pacific
167,Northern Mariana Islands,Mariana islands,Pacific
168,Mozambique,MOZAMBIQUE,Sub-Saharan Africa
169,Mauritania,MAURITANIA,Sub-Saharan Africa
170,Montserrat,Montserrat,Central America and the Caribbean
171,Martinique,Martinique,Central America and the Caribbean
172,Mauritius,MAURITIUS,Sub-Saharan Africa
172,Mauritius,Mauritus,Sub-Saharan Africa
173,Rodriguez Island,Rodriguez Island,Sub-Saharan Africa
174,Malawi,Malawi,Sub-Saharan Africa
175,Malaysia,Malaysia,Southern Asia
175,Malaysia,Malesia (Peninsular Malaysia),Southern Asia
176,Mayotte,Mayotte,Sub-Saharan Africa
177,Namibia,NAMIBIA,Sub-Saharan Africa
178,New Caledonia,New Caledonia,Pacific
178,New Caledonia,New Caledoina,Pacific
179,Niger,Niger,Sub-Saharan Africa
180,Norfolk Island,NORFOLK ISLAND,Australasia
180,Norfolk Island,Norfolk Islands,Australasia
181,Nigeria,Nigeria,Sub-Saharan Africa
181,Nigeria,Nigeria ,Sub-Saharan Africa
182,Nicaragua,Nicaragua,Central America and the Caribbean
183,Niue,Niue,Pacific
184,Netherlands,Netherlands,Europe
184,Netherlands,Holland,Europe
185,Norway,Norway,Europe
185,Norway,Norway (mainland),Europe
186,Nepal,Nepal ,Southern Asia
186,Nepal,Nepal,Southern Asia
187,Nauru,Nauru,Pacific
188,New Zealand,New Zealand,Australasia
188,New Zealand,Auckland,Australasia
188,New Zealand,New Zealand ,Australasia
188,New Zealand,New Zealand North,Australasia
188,New Zealand,West coast,Australasia
188,New Zealand,Chatham Islands,Australasia
189,Oman,OMAN,Saharo-Arabia
190,Pakistan,PAKISTAN,Southern Asia
191,Panama,Panama,Central America and the Caribbean
192,Pitcairn Islands,Pitcairn Island,Pacific
192,Pitcairn Islands,Pitcairn Islands,Pacific
193,Peru,Peru,Southern America
194,Philippines,Malesia (Philippines),Southern Asia
194,Philippines,PHILIPPINES,Southern Asia
