locationID,location,verbatimLocation,region,continent
1,Aruba,ARUBA,Central America and the Caribbean,North America
2,Afghanistan,AFGHANISTAN,Western Asia,Asia
3,Angola,Zaire,Sub-Saharan Africa,Africa
3,Angola,Angola,Sub-Saharan Africa,Africa
4,Anguilla,Anguilla,Central America and the Caribbean,North America
4,Anguilla,ANGUILLA ISLAND,Central America and the Caribbean,North America
5,Åland,ÅLAND ISLANDS,Europe,Europe
6,Albania,Albania,Europe,Europe
7,Andorra,ANDORRA,Europe,Europe
8,Curaçao,Curacao,Central America and the Caribbean,North America
9,Sint Maarten,Sint Maarten,Central America and the Caribbean,North America
10,United Arab Emirates,UNITED ARAB EMIRATES,Saharo-Arabia,Asia
11,Argentina,Argentina,Southern America,South America
11,Argentina,Argentine,Southern America,South America
12,Armenia,ARMENIA,Western Asia,Asia
13,American Samoa,AMERICAN SAMOA,Pacific,Oceania
14,Antarctica,South Orkney Islands,Antarctic,Antarctica
14,Antarctica,North-west Antarctic Peninsula,Antarctic,Antarctica
14,Antarctica,East Antarctica,Antarctic,Antarctica
14,Antarctica,Ross Ice Shelf,Antarctic,Antarctica
14,Antarctica,South Victoria Land,Antarctic,Antarctica
14,Antarctica,Adelie Land,Antarctic,Antarctica
14,Antarctica,East Antarctic Ice Sheet,Antarctic,Antarctica
14,Antarctica,Ellsworth Mountains,Antarctic,Antarctica
14,Antarctica,Larsen Ice Shelf,Antarctic,Antarctica
14,Antarctica,North Victoria Land,Antarctic,Antarctica
14,Antarctica,South Antarctic Peninsula,Antarctic,Antarctica
14,Antarctica,Transantarctic Mountains,Antarctic,Antarctica
14,Antarctica,Enderby Land,Antarctic,Antarctica
14,Antarctica,Filchner Ice Shelf,Antarctic,Antarctica
14,Antarctica,Brunt Ice Shelf,Antarctic,Antarctica
15,Crozet Islands,Crozet,Antarctic,Antarctica
15,Crozet Islands,Crozet Island Group,Antarctic,Antarctica
16,Kerguelen Islands,Kerguelen,Antarctic,Antarctica
16,Kerguelen Islands,Kerguelen Islands,Antarctic,Antarctica
16,Kerguelen Islands,Kerguelen Island,Antarctic,Antarctica
19,Amsterdam Island,Amsterdam Islands,Antarctic,Antarctica
20,Australia,Australia,Australasia,Oceania
20,Australia,AUSTRALIA Australian Capital Territory,Australasia,Oceania
20,Australia,AUSTRALIA New South Wales,Australasia,Oceania
20,Australia,AUSTRALIA Northern Territory,Australasia,Oceania
20,Australia,AUSTRALIA Queensland,Australasia,Oceania
20,Australia,AUSTRALIA South Australia,Australasia,Oceania
20,Australia,AUSTRALIA Victoria,Australasia,Oceania
20,Australia,AUSTRALIA Western Australia,Australasia,Oceania
20,Australia,West Australia,Australasia,Oceania
20,Australia,Autralia,Australasia,Oceania
21,Tasmania,AUSTRALIA Tasmania,Australasia,Oceania
21,Tasmania,Tasmania,Australasia,Oceania
22,Austria,Austria,Europe,Europe
23,Azerbaijan,Azerbaijan,Western Asia,Asia
24,Burundi,Burundi,Sub-Saharan Africa,Africa
25,Belgium,Belgium,Europe,Europe
26,Benin,Benin,Sub-Saharan Africa,Africa
27,Bonaire,Bonaire,Central America and the Caribbean,North America
30,Burkina Faso,BURKINA FASO,Sub-Saharan Africa,Africa
31,Bangladesh,Bangladesh,Southern Asia,Asia
32,Bulgaria,Bulgaria,Europe,Europe
33,Bahrain,BAHRAIN,Saharo-Arabia,Asia
34,Bahamas,Bahamas,Central America and the Caribbean,North America
35,Bosnia and Herzegovina,Bosnia,Europe,Europe
35,Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,Europe
35,Bosnia and Herzegovina,Bosnia-Hercegovina,Europe,Europe
36,Saint-Barthélemy,Saint Barthelemy,Central America and the Caribbean,North America
37,Belarus,Belarus,Europe,Europe
38,Belize,Belize,Central America and the Caribbean,North America
39,Bermuda,Bermuda,Central America and the Caribbean,North America
40,Bolivia,Bolivia,Southern America,South America
41,Brazil,Brazil,Southern America,South America
42,Barbados,Barbados,Central America and the Caribbean,North America
43,Brunei,BRUNEI DARUSSALAM,Southern Asia,Asia
44,Bhutan,Bhutan,Southern Asia,Asia
46,Botswana,BOTSWANA,Sub-Saharan Africa,Africa
47,Central African Republic,Central African Republic,Sub-Saharan Africa,Africa
48,Canada,Canada,Northern America,North America
48,Canada,Quebec,Northern America,North America
48,Canada,CANADA British Columbia,Northern America,North America
48,Canada,Canada Nova Scotia,Northern America,North America
48,Canada,Canada Ontario,Northern America,North America
48,Canada,British Columbia,Northern America,North America
48,Canada,CANADA Newfoundland and Labrador,Northern America,North America
48,Canada,CANADA Quebec,Northern America,North America
48,Canada,CANADA Saskatchewan,Northern America,North America
48,Canada,CANADA Prince Edward Island,Northern America,North America
48,Canada,CANADA Manitoba,Northern America,North America
48,Canada,CANADA New Brunswick,Northern America,North America
48,Canada,Prince Edward Island,Northern America,North America
48,Canada,CANADA Alberta,Northern America,North America
48,Canada,CANADA Northwest Territories,Northern America,North America
48,Canada,CANADA Yukon,Northern America,North America
48,Canada,Canada Newfoundland,Northern America,North America
48,Canada,CANADA Nunavut,Northern America,North America
49,Cocos Islands,Cocos (Keeling) Islands,Southern Asia,Asia
49,Cocos Islands,Cocos Islands,Southern Asia,Asia
50,Switzerland,Switzerland,Europe,Europe
50,Switzerland,Schweiz,Europe,Europe
51,Chile,Chile,Southern America,South America
52,China,China,Eastern Asia,Asia
52,China,China (Chongqing),Eastern Asia,Asia
52,China,China (Fujian),Eastern Asia,Asia
52,China,China (Guangdong),Eastern Asia,Asia
52,China,China (Guangxi),Eastern Asia,Asia
52,China,China (Guizhou),Eastern Asia,Asia
52,China,China (Hainan),Eastern Asia,Asia
52,China,China (Hubei),Eastern Asia,Asia
52,China,China (Hunan),Eastern Asia,Asia
52,China,China (Jiangsu),Eastern Asia,Asia
52,China,China (Jiangxi),Eastern Asia,Asia
52,China,China (Shandong),Eastern Asia,Asia
52,China,China (Shanxi),Eastern Asia,Asia
52,China,China (Shenxi),Eastern Asia,Asia
52,China,China (Yunnan),Eastern Asia,Asia
52,China,China (Anhui),Eastern Asia,Asia
52,China,China (Beijing),Eastern Asia,Asia
52,China,China (Gansu),Eastern Asia,Asia
52,China,China (Hebei),Eastern Asia,Asia
52,China,China (Heilongjiang),Eastern Asia,Asia
52,China,China (Henan),Eastern Asia,Asia
52,China,China (Inner Mongolia),Eastern Asia,Asia
52,China,China (Jilin),Eastern Asia,Asia
52,China,China (Liaoning),Eastern Asia,Asia
52,China,China (Ningxia),Eastern Asia,Asia
52,China,China (Qinghai),Eastern Asia,Asia
52,China,China (Shanghai),Eastern Asia,Asia
52,China,China (Sichuan),Eastern Asia,Asia
52,China,China (Tianjin),Eastern Asia,Asia
52,China,China (Xinjiang),Eastern Asia,Asia
52,China,China (Zhejiang),Eastern Asia,Asia
52,China,Yunnan,Eastern Asia,Asia
52,China,Guangdong,Eastern Asia,Asia
52,China,China (Tibet),Eastern Asia,Asia
52,China,Jiangsu,Eastern Asia,Asia
52,China,Zhejiang,Eastern Asia,Asia
52,China,Anhui,Eastern Asia,Asia
52,China,Guangxi,Eastern Asia,Asia
52,China,Jilin,Eastern Asia,Asia
52,China,Shanghai,Eastern Asia,Asia
52,China,Sichuan,Eastern Asia,Asia
52,China,Liaoning,Eastern Asia,Asia
52,China,Tibet,Eastern Asia,Asia
52,China,Shandong,Eastern Asia,Asia
52,China,Hunan,Eastern Asia,Asia
52,China,Hainan,Eastern Asia,Asia
52,China,Hebei,Eastern Asia,Asia
52,China,Xinjiang,Eastern Asia,Asia
52,China,Heilongjiang,Eastern Asia,Asia
52,China,Henan,Eastern Asia,Asia
52,China,Jiangxi,Eastern Asia,Asia
52,China,Shaanxi,Eastern Asia,Asia
52,China,Guizhou,Eastern Asia,Asia
52,China,"Mainland, China",Eastern Asia,Asia
52,China,Hubei,Eastern Asia,Asia
53,Côte d'Ivoire,Cote d'Ivoire,Sub-Saharan Africa,Africa
53,Côte d'Ivoire,Côte d'Ivoire,Sub-Saharan Africa,Africa
54,Cameroon,Cameroon,Sub-Saharan Africa,Africa
55,Democratic Republic of the Congo,DR Congo,Sub-Saharan Africa,Africa
55,Democratic Republic of the Congo,"Congo, Democratic Republic of the",Sub-Saharan Africa,Africa
55,Democratic Republic of the Congo,Congo Democratic Republic,Sub-Saharan Africa,Africa
55,Democratic Republic of the Congo,"Congo, Democratic Republic of",Sub-Saharan Africa,Africa
55,Democratic Republic of the Congo,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",Sub-Saharan Africa,Africa
56,Republic of the Congo,Congo,Sub-Saharan Africa,Africa
56,Republic of the Congo,"Congo, Republic of",Sub-Saharan Africa,Africa
57,Cook Islands,COOK ISLANDS,Pacific,Oceania
58,Colombia,Colombia,Southern America,South America
59,Comoros,COMOROS,Sub-Saharan Africa,Africa
60,Cape Verde,CAPE VERDE,Sub-Saharan Africa,Africa
61,Costa Rica,Costa Rica,Central America and the Caribbean,North America
62,Cuba,Cuba,Central America and the Caribbean,North America
63,Christmas Island,CHRISTMAS ISLAND,Southern Asia,Asia
63,Christmas Island,Christmas Island (Indian Ocean),Southern Asia,Asia
