taxonID,taxon,originalNameUsage,scientificName,scientificNameAuthorship,GBIFstatus,GBIFstatus_Synonym,GBIFmatchtype,GBIFtaxonRank,GBIFusageKey,GBIFnote,species,genus,family,order,class,phylum,kingdom,taxaGroup
,,Sorghum Ã—almum Parodi,Sorghum Moench,"",ACCEPTED,"",EXACT,GENUS,2705180,Accepted name provided in 'alternative names' in GBIF,,Sorghum,Poaceae,Poales,Liliopsida,Tracheophyta,Plantae,Vascular plants
,,x Triticosecale NA NA,× Triticosecale Wittm. ex A.Camus,"",ACCEPTED,"",EXACT,GENUS,2703325,Accepted name provided in 'alternative names' in GBIF,,Triticosecale,Poaceae,Poales,Liliopsida,Tracheophyta,Plantae,Vascular plants
365,Abelmoschus esculentus,Abelmoschus esculentus (L) Moench,Abelmoschus esculentus (L.) Moench,"",ACCEPTED,"",EXACT,SPECIES,3152707,"",Abelmoschus esculentus,Abelmoschus,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
305,Abudefduf vaigiensis,Abudefduf vaigiensis,"Abudefduf vaigiensis (Quoy & Gaimard, 1825)","",ACCEPTED,"",EXACT,SPECIES,2398634,"",Abudefduf vaigiensis,Abudefduf,Pomacentridae,Perciformes,"",Chordata,Animalia,Fishes
70,Acacia cupularis,Acacia cupularis,Acacia cupularis Domin,"",ACCEPTED,"",EXACT,SPECIES,2978551,"",Acacia cupularis,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1156,Acacia dealbata,Acacia dealbata Link,Acacia dealbata Link,"",ACCEPTED,"",EXACT,SPECIES,2979474,"",Acacia dealbata,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1156,Acacia dealbata,Acacia dealbata,Acacia dealbata Link,"",ACCEPTED,"",EXACT,SPECIES,2979474,"",Acacia dealbata,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1412,Acacia mangium,Acacia mangium,Acacia mangium Willd.,"",ACCEPTED,"",EXACT,SPECIES,2979091,"",Acacia mangium,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
449,Acacia melanoxylon,Acacia melanoxylon,Acacia melanoxylon R.Br.,RBr,ACCEPTED,"",EXACT,SPECIES,2979000,"",Acacia melanoxylon,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1588,Acaena anserinifolia,Acaena anserinifolia NA,Acaena anserinifolia (J.R.Forst. & G.Forst.) Druce,"",ACCEPTED,"",EXACT,SPECIES,7942884,Accepted name provided in 'alternative names' in GBIF,Acaena anserinifolia,Acaena,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1320,Acantholyda erythrocephala,Acantholyda erythrocephala NA,"Acantholyda erythrocephala (Linnaeus, 1758)","",ACCEPTED,"",EXACT,SPECIES,1248774,"",Acantholyda erythrocephala,Acantholyda,Pamphiliidae,Hymenoptera,Insecta,Arthropoda,Animalia,Insects
1466,Acer campestre,Acer campestre NA,Acer campestre L.,"",ACCEPTED,"",EXACT,SPECIES,3189863,Accepted name provided in 'alternative names' in GBIF,Acer campestre,Acer,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
568,Acer palmatum,Acer palmatum,Acer palmatum Thunb.,Thunb,ACCEPTED,"",EXACT,SPECIES,3189882,"",Acer palmatum,Acer,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1582,Acer tegmentosum,Acer tegmentosum Maxim,Acer tegmentosum Maxim.,Maxim,ACCEPTED,"",EXACT,SPECIES,7263128,"",Acer tegmentosum,Acer,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1288,Achatina fulica NA,Achatina fulica NA,"","",MISSING,"","","","","","","","","","","","",
1627,Achillea aspleniifolia,Achillea aspleniifolia,Achillea aspleniifolia Vent.,SchBip,ACCEPTED,"",EXACT,SPECIES,7491603,"",Achillea aspleniifolia,Achillea,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
602,Achillea crithmifolia,Achillea crithmifolia,Achillea crithmifolia Waldst. & Kit.,Hampe,ACCEPTED,"",EXACT,SPECIES,8059665,"",Achillea crithmifolia,Achillea,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
68,Achillea millefolium,Achillea millefolium L,Achillea millefolium L.,"",ACCEPTED,"",EXACT,SPECIES,3120060,"",Achillea millefolium,Achillea,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
970,Achyranthes aspera,Achyranthes aspera,Achyranthes aspera L.,"",ACCEPTED,"",EXACT,SPECIES,3085168,"",Achyranthes aspera,Achyranthes,Amaranthaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
812,Acipenser baerii,Acipenser baerii,"Acipenser baerii Brandt, 1869","",ACCEPTED,"",EXACT,SPECIES,4287131,"",Acipenser baerii,Acipenser,Acipenseridae,Acipenseriformes,"",Chordata,Animalia,Fishes
1072,Acipenser ruthenus,Acipenser ruthenus NA,"Acipenser ruthenus Linnaeus, 1758","",ACCEPTED,"",EXACT,SPECIES,2402168,Accepted name provided in 'alternative names' in GBIF,Acipenser ruthenus,Acipenser,Acipenseridae,Acipenseriformes,"",Chordata,Animalia,Fishes
1540,Acizzia acaciaebaileyanae,Acizzia acaciaebaileyanae,"Acizzia acaciaebaileyanae (Froggatt, 1901)","",ACCEPTED,"",EXACT,SPECIES,2013998,"",Acizzia acaciaebaileyanae,Acizzia,Psyllidae,Hemiptera,Insecta,Arthropoda,Animalia,Insects
1645,Acizzia uncatoides,Acizzia uncatoides,"Acizzia uncatoides (Ferris & Klyver, 1932)","",ACCEPTED,"",EXACT,SPECIES,2014031,"",Acizzia uncatoides,Acizzia,Psyllidae,Hemiptera,Insecta,Arthropoda,Animalia,Insects
884,Acroptilon repens NA,Acroptilon repens NA,"","",MISSING,"","","","","","","","","","","","",
1414,Acrothamnion preissii,Acrothamnion preissii,Acrothamnion preissii (Sonder) E.M.Wollaston,"",ACCEPTED,"",EXACT,SPECIES,2658484,"",Acrothamnion preissii,Acrothamnion,Ceramiaceae,Ceramiales,Florideophyceae,Rhodophyta,Plantae,
1022,Actinidia polygama,Actinidia polygama,Actinidia polygama (Siebold & Zucc.) Maxim.,"",ACCEPTED,"",EXACT,SPECIES,3189692,"",Actinidia polygama,Actinidia,Actinidiaceae,Ericales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
640,Acyrthosiphon caraganae,Acyrthosiphon caraganae,"Acyrthosiphon caraganae (Cholodkovsky, 1908)","",ACCEPTED,"",EXACT,SPECIES,2077518,"",Acyrthosiphon caraganae,Acyrthosiphon,Aphididae,Hemiptera,Insecta,Arthropoda,Animalia,Insects
1104,Adenandra uniflora,Adenandra uniflora NA,Adenandra uniflora (L.) Willd.,"",ACCEPTED,"",EXACT,SPECIES,7800362,Accepted name provided in 'alternative names' in GBIF,Adenandra uniflora,Adenandra,Rutaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1680,Adiantum capillus-veneris,Adiantum capillus-veneris L,Adiantum capillus-veneris L.,"",ACCEPTED,"",EXACT,SPECIES,2651816,"",Adiantum capillus-veneris,Adiantum,Pteridaceae,Polypodiales,Polypodiopsida,Tracheophyta,Plantae,Vascular plants
868,Adiantum raddianum,Adiantum raddianum C Presl,Adiantum raddianum C.Presl,"",ACCEPTED,"",EXACT,SPECIES,2651826,"",Adiantum raddianum,Adiantum,Pteridaceae,Polypodiales,Polypodiopsida,Tracheophyta,Plantae,Vascular plants
868,Adiantum raddianum,Adiantum raddianum C Presl,Adiantum raddianum C.Presl,"",ACCEPTED,"",EXACT,SPECIES,2651826,"",Adiantum raddianum,Adiantum,Pteridaceae,Polypodiales,Polypodiopsida,Tracheophyta,Plantae,Vascular plants
368,Aedes albopictus,"Aedes albopictus (Skuse, 1895)","Aedes albopictus (Skuse, 1894)","",ACCEPTED,"",EXACT,SPECIES,1651430,"",Aedes albopictus,Aedes,Culicidae,Diptera,Insecta,Arthropoda,Animalia,Insects
90,Aegilops neglecta,Aegilops neglecta,Aegilops neglecta Req. ex Bertol.,Req ex Bertol,ACCEPTED,"",EXACT,SPECIES,4138080,"",Aegilops neglecta,Aegilops,Poaceae,Poales,Liliopsida,Tracheophyta,Plantae,Vascular plants
1456,Aeluropus littoralis,Aeluropus littoralis,Aeluropus littoralis (Gouan) Parl.,"",ACCEPTED,"",EXACT,SPECIES,4136390,"",Aeluropus littoralis,Aeluropus,Poaceae,Poales,Liliopsida,Tracheophyta,Plantae,Vascular plants
1663,Afrocardium richardi,"Afrocardium richardi (Audouin, 1826)","Afrocardium richardi (Audouin, 1826)","",ACCEPTED,"",EXACT,SPECIES,4372407,"",Afrocardium richardi,Afrocardium,Cardiidae,Cardiida,Bivalvia,Mollusca,Animalia,
