taxonID,taxon,originalNameUsage,scientificName,scientificNameAuthorship,GBIFstatus,GBIFstatus_Synonym,GBIFmatchtype,GBIFtaxonRank,GBIFusageKey,GBIFnote,species,genus,family,order,class,phylum,kingdom,taxaGroup
358,Aporrectodea rosea,Aporrectodea rosea,"Aporrectodea rosea (Savigny, 1826)","",ACCEPTED,"",EXACT,SPECIES,2307760,"",Aporrectodea rosea,Aporrectodea,Lumbricidae,Crassiclitellata,Clitellata,Annelida,Animalia,Other
1472,Lumbricus castaneus,Lumbricus castaneus,"Lumbricus castaneus (Savigny, 1826)","",ACCEPTED,"",EXACT,SPECIES,4410653,"",Lumbricus castaneus,Lumbricus,Lumbricidae,Crassiclitellata,Clitellata,Annelida,Animalia,Other
1245,Columba livia,Columba livia,"Columba livia J.F.Gmelin, 1789","",ACCEPTED,"",EXACT,SPECIES,2495414,"",Columba livia,Columba,Columbidae,Columbiformes,Aves,Chordata,Animalia,Birds
760,Cricetidae,Cricetidae,"","",MISSING,"","","","","","","","","","","","",Other
391,Monomorium floricola,Monomorium floricola,"Monomorium floricola (Jerdon, 1851)","",ACCEPTED,"",EXACT,SPECIES,1314699,"",Monomorium floricola,Monomorium,Formicidae,Hymenoptera,Insecta,Arthropoda,Animalia,Insects
884,Monomorium pharaonis,Monomorium pharaonis,"Monomorium pharaonis (Linnaeus, 1758)","",ACCEPTED,"",EXACT,SPECIES,1314773,"",Monomorium pharaonis,Monomorium,Formicidae,Hymenoptera,Insecta,Arthropoda,Animalia,Insects
1124,Senecio madagascariensis,Senecio madagascariensis,Senecio madagascariensis Poir.,"",ACCEPTED,"",EXACT,SPECIES,3107722,"",Senecio madagascariensis,Senecio,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
261,Carduelis carduelis,Carduelis carduelis,"Carduelis carduelis (Linnaeus, 1758)","",ACCEPTED,"",EXACT,SPECIES,2494686,"",Carduelis carduelis,Carduelis,Fringillidae,Passeriformes,Aves,Chordata,Animalia,Birds
580,Sturnus vulgaris,Sturnus vulgaris,"Sturnus vulgaris Linnaeus, 1758","",ACCEPTED,"",EXACT,SPECIES,9809229,"",Sturnus vulgaris,Sturnus,Sturnidae,Passeriformes,Aves,Chordata,Animalia,Birds
1208,Lophura nycthemera,Lophura nycthemera,"Lophura nycthemera (Linnaeus, 1758)","",ACCEPTED,"",EXACT,SPECIES,5227966,"",Lophura nycthemera,Lophura,Phasianidae,Galliformes,Aves,Chordata,Animalia,Birds
99,Corvus splendens,Corvus splendens,"Corvus splendens Vieillot, 1817","",ACCEPTED,"",EXACT,SPECIES,2482499,"",Corvus splendens,Corvus,Corvidae,Passeriformes,Aves,Chordata,Animalia,Birds
811,Agave sisalana,Agave sisalana,Agave sisalana Perrine,"",ACCEPTED,"",EXACT,SPECIES,2766636,"",Agave sisalana,Agave,Asparagaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,Vascular plants
464,Ageratina adenophora,Ageratina adenophora (Spreng) RMKing & HRob,Ageratina adenophora (Spreng.) R.M.King & H.Rob.,"",ACCEPTED,"",EXACT,SPECIES,5400613,Accepted name provided in 'alternative names' in GBIF,Ageratina adenophora,Ageratina,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
883,Agropogon lutosus,Polypogon lutosus,× Agropogon lutosus (Poir.) P.Fourn.,"",SYNONYM,ACCEPTED,EXACT,SPECIES,5289916,"",Agropogon lutosus,Agropogon,Poaceae,Poales,Liliopsida,Tracheophyta,Plantae,Vascular plants
196,Allocasuarina torulosa,Casuarina torulosa NA,Allocasuarina torulosa (Aiton) L.A.S.Johnson,"",SYNONYM,ACCEPTED,EXACT,SPECIES,8551660,"",Allocasuarina torulosa,Allocasuarina,Casuarinaceae,Fagales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
857,Alopecurus geniculatus,Alopecurus geniculatus (NC),Alopecurus geniculatus L.,"",ACCEPTED,"",EXACT,SPECIES,5290090,"",Alopecurus geniculatus,Alopecurus,Poaceae,Poales,Liliopsida,Tracheophyta,Plantae,Vascular plants
1401,Amaranthus powellii x quitensis,Amaranthus powellii x quitensis,"","",MISSING,"","","","","","","","","","","","",Other
578,Asphodelus fistulosus,Asphodelus fistulosus L,Asphodelus fistulosus L.,"",ACCEPTED,"",EXACT,SPECIES,2778437,"",Asphodelus fistulosus,Asphodelus,Asphodelaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,Vascular plants
1654,Banksia occidentalis,Banksia occidentalis NA,Banksia occidentalis R.Br.,"",ACCEPTED,"",EXACT,SPECIES,7287494,Accepted name provided in 'alternative names' in GBIF,Banksia occidentalis,Banksia,Proteaceae,Proteales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
396,Barbarea verna,Barbarea verna (Mill) Asch,Barbarea verna (Mill.) Asch.,"",ACCEPTED,"",EXACT,SPECIES,5374672,"",Barbarea verna,Barbarea,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
587,Callitris gunni NA,Callitris gunni NA,"","",MISSING,"","","","","","","","","","","","",Other
1350,Cantua buxifolia,Cantua buxifolia NA,Cantua buxifolia Juss. ex Lam.,"",ACCEPTED,"",EXACT,SPECIES,7294305,Accepted name provided in 'alternative names' in GBIF,Cantua buxifolia,Cantua,Polemoniaceae,Ericales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
676,Carex flacca,Carex flacca,Carex flacca Schreb.,"",ACCEPTED,"",EXACT,SPECIES,2727938,"",Carex flacca,Carex,Cyperaceae,Poales,Liliopsida,Tracheophyta,Plantae,Vascular plants
181,Carpentaria californica NA,Carpentaria californica NA,"","",MISSING,"","","","","","","","","","","","",Other
642,Cerastium diffusum,Cerastium diffusum,Cerastium diffusum Pers.,"",ACCEPTED,"",EXACT,SPECIES,3085464,"",Cerastium diffusum,Cerastium,Caryophyllaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
139,Cerastium semidecandrum,Cerastium balearicum,Cerastium semidecandrum L.,"",ACCEPTED,ACCEPTED,EXACT,SPECIES,3085434,"",Cerastium semidecandrum,Cerastium,Caryophyllaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1636,Ceropegia mixta,Orbea variegata (L) Haw,Ceropegia mixta (Masson) Bruyns,"",SYNONYM,ACCEPTED,EXACT,SPECIES,3574727,"",Ceropegia mixta,Ceropegia,Apocynaceae,Gentianales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1619,Chamaecyparis nootkatensis NA,Chamaecyparis nootkatensis NA,"","",MISSING,"","","","","","","","","","","","",Other
209,Chrysanthemoides monilifera (L) Norl subsp monilifera,Chrysanthemoides monilifera (L) Norl subsp monilifera,"","",SYNONYM,"",EXACT,SUBSPECIES,7223520,"","","","","","","","",Other
1314,Clerodendrum paniculatum,Clerodendrum paniculatum L,Clerodendrum paniculatum L.,"",ACCEPTED,"",EXACT,SPECIES,3890745,"",Clerodendrum paniculatum,Clerodendrum,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
724,Combretum indicum, Quisqualis indica L,Combretum indicum (L.) De Filipps,"",SYNONYM,ACCEPTED,EXACT,SPECIES,5421048,"",Combretum indicum,Combretum,Combretaceae,Myrtales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1500,Cornus capitata,Cornus capitata,Cornus capitata Wall.,"",ACCEPTED,"",EXACT,SPECIES,7161042,"",Cornus capitata,Cornus,Cornaceae,Cornales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1126,Croton setiger,Croton setiger Hook,Croton setiger Hook.,"",ACCEPTED,"",EXACT,SPECIES,4930695,"",Croton setiger,Croton,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1053,Cryptandra amara,Cryptandra amara,Cryptandra amara Sm.,"",ACCEPTED,"",EXACT,SPECIES,7273650,"",Cryptandra amara,Cryptandra,Rhamnaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1371,Cucumis myriocarpus,Cucumis myriocarpus,Cucumis myriocarpus Naudin,"",ACCEPTED,"",EXACT,SPECIES,7885624,"",Cucumis myriocarpus,Cucumis,Cucurbitaceae,Cucurbitales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1118,Cylindropuntia kleiniae,Cylindropuntia kleiniae,Cylindropuntia kleiniae (DC.) F.M.Knuth,"",ACCEPTED,"",EXACT,SPECIES,3952654,"",Cylindropuntia kleiniae,Cylindropuntia,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
809,Daphne odora,Daphne odora NA,Daphne odora Thunb.,"",ACCEPTED,"",EXACT,SPECIES,7670260,Accepted name provided in 'alternative names' in GBIF,Daphne odora,Daphne,Thymelaeaceae,Malvales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
4,Dodonaea hackettiana,Dodonaea hackettiana NA,Dodonaea hackettiana Fitzg.,"",ACCEPTED,"",EXACT,SPECIES,5577413,Accepted name provided in 'alternative names' in GBIF,Dodonaea hackettiana,Dodonaea,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1441,Epilobium nummulariifolium,Epilobium nummulariifolium,"","",MISSING,"","","","","","","","","","","","",Other
1454,Erechtites valerianifolius (Link ex Spreng) DC f valerianifolius,Erechtites valerianifolius (Link ex Spreng) DC f valerianifolius,"","",MISSING,"","","","",No single accepted name in GBIF,"","","","","","","",Other
1201,Erica arborea,Erica arborea L,Erica arborea L.,"",ACCEPTED,"",EXACT,SPECIES,5333410,"",Erica arborea,Erica,Ericaceae,Ericales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
370,Erica vagans,Erica vagans NA,Erica vagans L.,"",ACCEPTED,"",EXACT,SPECIES,5333408,Accepted name provided in 'alternative names' in GBIF,Erica vagans,Erica,Ericaceae,Ericales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
201,Erodium cicutarium,Erodium cicutarium (L) L'HÃ©r ex Aiton,Erodium cicutarium (L.) L'Hér.,"",ACCEPTED,"",EXACT,SPECIES,9485490,Accepted name provided in 'alternative names' in GBIF,Erodium cicutarium,Erodium,Geraniaceae,Geraniales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
462,Escallonia laevis,Escallonia laevis NA,Escallonia laevis (Vell.) Sleumer,"",ACCEPTED,"",EXACT,SPECIES,3932735,Accepted name provided in 'alternative names' in GBIF,Escallonia laevis,Escallonia,Escalloniaceae,Escalloniales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
739,Eucalyptus caesia,Eucalyptus caesia NA,Eucalyptus caesia Benth.,"",ACCEPTED,"",EXACT,SPECIES,3176747,Accepted name provided in 'alternative names' in GBIF,Eucalyptus caesia,Eucalyptus,Myrtaceae,Myrtales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
708,Euonymus europaea NA,Euonymus europaea NA,"","",MISSING,"","","","","","","","","","","","",Other
364,Euphorbia heterophylla, Euphorbia cyathophora Murray,Euphorbia heterophylla L.,"",SYNONYM,ACCEPTED,EXACT,SPECIES,3063823,"",Euphorbia heterophylla,Euphorbia,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
