locationID,location,verbatimLocation,region
20,Australia,Australia,Australasia
256,United States of America,United States,Northern America
255,Hawaii,Hawaiian Islands,Pacific
52,China,China,Eastern Asia
133,Kazakhstan,Kazakhstan,Western Asia
241,Turkmenistan,Turkmenistan,Western Asia
257,Uzbekistan,Uzbekistan,Western Asia
132,Japan,Japan,Eastern Asia
6,Albania,Albania,Europe
276,Zimbabwe,Zimbabwe,Sub-Saharan Africa
3924,Socotra Island,Socotra Island,Saharo-Arabia
110,Hong Kong,China (Hongkong),Eastern Asia
55,Democratic Republic of the Congo,DR Congo,Sub-Saharan Africa
157,Madagascar,Madagascar,Sub-Saharan Africa
248,Taiwan,Taiwan,Eastern Asia
196,Papua New Guinea,Malesia (New Guinea),Southern Asia
70,Denmark,Denmark,Europe
66,Czech Republic,Czech Republic,Europe
1201,Corsica,France (Corsica),Europe
126,Italy,Italy (mainland),Europe
32,Bulgaria,Bulgaria,Europe
86,France,France (mainland),Europe
81,Estonia,Estonia,Europe
185,Norway,Norway,Europe
202,Portugal,Portugal,Europe
231,Sweden,Sweden,Europe
91,United Kingdom,United Kingdom,Europe
121,Ireland,Ireland,Europe
149,Lithuania,Lithuania,Europe
22,Austria,Austria,Europe
229,Slovakia,Slovakia,Europe
124,Iceland,Iceland,Europe
122,Iran,Iran,Western Asia
85,Falkland Islands,Falklands/Malvinas,Antarctic
208,Russia,Russia,Europe
72,Algeria,Algeria,Saharo-Arabia
135,Kyrgyzstan,Kyrgyzstan,Western Asia
80,Spain,Spain,Europe
25,Belgium,Belgium,Europe
214,Singapore,Singapore,Southern Asia
103,Greece,Greece,Europe
125,Israel,Israel,Saharo-Arabia
79,Canary Islands,Canary Island,Sub-Saharan Africa
273,South Africa,South Africa,Sub-Saharan Africa
116,Indonesia,Malesia (Java),Southern Asia
154,Morocco,Morocco,Saharo-Arabia
48,Canada,Canada,Northern America
151,Latvia,Latvia,Europe
184,Netherlands,Netherlands,Europe
197,Poland,Poland,Europe
230,Slovenia,Slovenia,Europe
199,North Korea,North Korea,Eastern Asia
139,South Korea,South Korea,Eastern Asia
207,Romania,Romania,Europe
51,Chile,Chile,Southern America
238,Thailand,Thailand,Southern Asia
58,Colombia,Colombia,Southern America
176,Mayotte,Mayotte,Sub-Saharan Africa
94,Ghana,Ghana,Sub-Saharan Africa
206,Réunion,Reunion,Sub-Saharan Africa
152,Macao,China (Macao),Eastern Asia
118,India,India,Southern Asia
178,New Caledonia,New Caledonia,Pacific
188,New Zealand,New Zealand,Australasia
147,Sri Lanka,Sri Lanka,Southern Asia
65,Cyprus,Cyprus,Western Asia
3925,French Polynesia,French Polynesia,Pacific
181,Nigeria,Nigeria,Sub-Saharan Africa
41,Brazil,Brazil,Southern America
11,Argentina,Argentina,Southern America
14,Antarctica,South Orkney Islands,Antarctic
3914,Antipodes Island,Antipodes,Australasia
200,Azores,Portugal (Azores),Sub-Saharan Africa
245,Tunisia,Tunusia,Saharo-Arabia
246,Turkey,Turkey,Western Asia
67,Germany,Germany,Europe
74,Galapagos,Galapagos,Southern America
127,Sardinia,Italy (Italy- Sardinia),Europe
128,Sicily,Italy (Italy- Sicily),Europe
201,Madeira,Portugal (Madeira),Sub-Saharan Africa
115,Hungary,Hungary,Europe
134,Kenya,Kenya,Sub-Saharan Africa
236,Chad,Chad,Sub-Saharan Africa
194,Philippines,Malesia (Philippines),Southern Asia
142,Lebanon,Lebanon,Saharo-Arabia
83,Finland,Finland,Europe
92,Georgia,Georgia,Western Asia
251,Ukraine,Ukraine,Europe
10,United Arab Emirates,UNITED ARAB EMIRATES,Saharo-Arabia
150,Luxembourg,Luxembourg,Europe
159,Mexico,Mexico,Northern America
39,Bermuda,Bermuda,Central America and the Caribbean
163,Malta,Malta,Europe
254,Alaska,Alaska,Northern America
219,Svalbard and Jan Mayen,Svalbard,Europe
15,Crozet Islands,Crozet,Antarctic
16,Kerguelen Islands,Kerguelen,Antarctic
215,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands,Antarctic
75,Egypt,Egypt,Saharo-Arabia
3916,Antigua and Barbuda,Antigua and Barbuda,Central America and the Caribbean
34,Bahamas,Bahamas,Central America and the Caribbean
42,Barbados,Barbados,Central America and the Caribbean
261,Virgin Islands (British),British Virgin Islands,Central America and the Caribbean
62,Cuba,Cuba,Central America and the Caribbean
69,Dominica,Dominica,Central America and the Caribbean
71,Dominican Republic,Dominican Republic,Central America and the Caribbean
104,Grenada,Grenada,Central America and the Caribbean
97,Guadeloupe,Guadeloupe,Central America and the Caribbean
114,Haiti,Haiti,Central America and the Caribbean
129,Jamaica,Jamaica,Central America and the Caribbean
171,Martinique,Martinique,Central America and the Caribbean
170,Montserrat,Montserrat,Central America and the Caribbean
198,Puerto Rico,Puerto Rico,Central America and the Caribbean
262,Virgin Islands (U.S.),United States Virgin Islands,Central America and the Caribbean
226,Serbia,Serbia,Europe
113,Croatia,Croatia,Europe
50,Switzerland,Switzerland,Europe
175,Malaysia,Malesia (Peninsular Malaysia),Southern Asia
240,Tokelau,TOKELAU,Pacific
13,American Samoa,AMERICAN SAMOA,Pacific
63,Christmas Island,CHRISTMAS ISLAND,Southern Asia
84,Fiji,FIJI ISLAND,Pacific
266,Samoa,SAMOA,Pacific
