unmatched_term,context,occurrenceStatus,degreeOfEstablishment,pathway,habitat
Extinct casual,establishmentMeans,,,,
Cs,establishmentMeans,,,,
In captivity/culture,establishmentMeans,,,,
Not known,establishmentMeans,,,,
Not established,establishmentMeans,,,,
cas,establishmentMeans,,,,
not established,establishmentMeans,,,,
invasive,establishmentMeans,,,,
Cas,establishmentMeans,,,,
Partly naturalised,establishmentMeans,,,,
Not Established,establishmentMeans,,,,
Invasive,establishmentMeans,,,,
nat,establishmentMeans,,,,
introduced/alien (present),establishmentMeans,,,,
alien/exotic (naturalised),establishmentMeans,,,,
natruralised,establishmentMeans,,,,
Nt,establishmentMeans,,,,
introduced/alien,establishmentMeans,,,,
"introduced (present, no further details)",establishmentMeans,,,,
In,establishmentMeans,,,,
present,establishmentMeans,,,,
absent,establishmentMeans,,,,
"Naturalised, invasive",establishmentMeans,,,,
Established invasive,establishmentMeans,,,,
inv,establishmentMeans,,,,
"established, invasive",establishmentMeans,,,,
Inv,establishmentMeans,,,,
Within country transfer,establishmentMeans,,,,
alien (established),establishmentMeans,,,,
Ext,establishmentMeans,,,,
cas o,establishmentMeans,,,,
Nat,establishmentMeans,,,,
Ext/Cas,establishmentMeans,,,,
Extinct,establishmentMeans,,,,
New casual,establishmentMeans,,,,
locally naturalised,establishmentMeans,,,,
extinct,establishmentMeans,,,,
Not applicable NA,establishmentMeans,,,,
nat o,establishmentMeans,,,,
"Naturalised, cryptogenic, invasive",establishmentMeans,,,,
Old casual,establishmentMeans,,,,
"established,  weed of agricultural impact",establishmentMeans,,,,
Erroneously reported,establishmentMeans,,,,
Suspected,establishmentMeans,,,,
"Naturalised, cryptogenic",establishmentMeans,,,,
alien (reported to present),establishmentMeans,,,,
Provenance uncertain,establishmentMeans,,,,
Absent,establishmentMeans,,,,
nat inv,establishmentMeans,,,,
"established, potentially invasive",establishmentMeans,,,,
alien/exotic (present),establishmentMeans,,,,
Remnant of cultivation,establishmentMeans,,,,
introduced/alien (established and expanding),establishmentMeans,,,,
alien (present to established),establishmentMeans,,,,
introduced (localised),establishmentMeans,,,,
eradicated,establishmentMeans,,,,
Data Deficient,establishmentMeans,,,,
introduced/alien (reported),establishmentMeans,,,,
introduced (present),establishmentMeans,,,,
introduced/alien (reported to present),establishmentMeans,,,,
introduced/alien (reported to widespread),establishmentMeans,,,,
alien/exotic (in captivity),establishmentMeans,,,,
introduced/alien (establishment uncertain),establishmentMeans,,,,
alien (reported as captive/cultivated),establishmentMeans,,,,
provenance uncertain,establishmentMeans,,,,
introduced/alien (restricted distribution),establishmentMeans,,,,
alien (present to reported),establishmentMeans,,,,
alien (established to widespread),establishmentMeans,,,,
introduced/alien (present to established),establishmentMeans,,,,
introduced (present to established),establishmentMeans,,,,
introduced/alien (widespread),establishmentMeans,,,,
introduced/alien (reported to restricted distribution),establishmentMeans,,,,
nat#,establishmentMeans,,,,
alien/exotic (cultivated),establishmentMeans,,,,
"Cas Wool,� Geraniaceae",establishmentMeans,,,,
Cas Wool Geraniaceae,establishmentMeans,,,,
"Cas Wool, grain,� Geraniaceae",establishmentMeans,,,,
"Ext/Cas Wool,� Geraniaceae",establishmentMeans,,,,
Cas Grain Geraniaceae,establishmentMeans,,,,
"Cas Grain, wool,� Brassicaceae",establishmentMeans,,,,
Cas Wool Brassicaceae,establishmentMeans,,,,
Cas  Brassicaceae,establishmentMeans,,,,
Cas Hort Apiaceae,establishmentMeans,,,,
Nat Hort Brassicaceae,establishmentMeans,,,,
Cas Grain Brassicaceae,establishmentMeans,,,,
"Cas Wool, grain,� Brassicaceae",establishmentMeans,,,,
Cas Hort Brassicaceae,establishmentMeans,,,,
Cas Hort Liliaceae,establishmentMeans,,,,
Cas Hort Papaveraceae,establishmentMeans,,,,
"Cas Grain,� Brassicaceae",establishmentMeans,,,,
Cas Hort Celastraceae,establishmentMeans,,,,
Nat Hort Celastraceae,establishmentMeans,,,,
Nat Hort Asteraceae,establishmentMeans,,,,
Cas Hort Asteraceae,establishmentMeans,,,,
introduced/alien (present/controlled),establishmentMeans,,,,
alien (reported),establishmentMeans,,,,
introduced/alien (established),establishmentMeans,,,,
"alien (reported) (introduced, not established)",establishmentMeans,,,,
introduced (reported to present),establishmentMeans,,,,
Invasiv,establishmentMeans,,,,
"alien (introduced, not established)",establishmentMeans,,,,
introduced (reported as captive/cultivated to present),establishmentMeans,,,,
"introduced/alien (present, no further details)",establishmentMeans,,,,
introduced (restricted distribution),establishmentMeans,,,,
introduced (widespread),establishmentMeans,,,,
"Cas Wool,�",establishmentMeans,,,,
Nat Hort,establishmentMeans,,,,
Cas Hort,establishmentMeans,,,,
"Nat Grain,�",establishmentMeans,,,,
Ext/Cas Hort,establishmentMeans,,,,
Cas Wool,establishmentMeans,,,,
"Cas Agric, grain",establishmentMeans,,,,
"Cas Wool, seeds,� Fabaceae",establishmentMeans,,,,
Cas Grain,establishmentMeans,,,,
"Cas Grain, wool,� Fabaceae",establishmentMeans,,,,
"Cas Grain, seeds,� Fabaceae",establishmentMeans,,,,
"Cas Wool, grain",establishmentMeans,,,,
"Cas Grain,�",establishmentMeans,,,,
Nat Agric,establishmentMeans,,,,
Cas Agric,establishmentMeans,,,,
Cas Seeds,establishmentMeans,,,,
"Cas Grain, birdseed Fabaceae",establishmentMeans,,,,
,occurrenceStatus,naturalized,,,
,occurrenceStatus,Alien,,,
,occurrenceStatus,established,,,
,occurrenceStatus,Extinct casual,,,
,occurrenceStatus,Cs,,,
,occurrenceStatus,Casual,,,
,occurrenceStatus,In captivity/culture,,,
,occurrenceStatus,Established,,,
,occurrenceStatus,Cryptogenic,,,
,occurrenceStatus,alien,,,
,occurrenceStatus,Not known,,,
,occurrenceStatus,Not established,,,
,occurrenceStatus,cas,,,
,occurrenceStatus,not established,,,
,occurrenceStatus,uncertain,,,
,occurrenceStatus,Introduced,,,
,occurrenceStatus,casual,,,
,occurrenceStatus,invasive,,,
,occurrenceStatus,Cas,,,
,occurrenceStatus,Partly naturalised,,,
,occurrenceStatus,Not Established,,,
,occurrenceStatus,Invasive,,,
,occurrenceStatus,Naturalised,,,
,occurrenceStatus,nat,,,
,occurrenceStatus,Naturalized,,,
,occurrenceStatus,introduced/alien (present),,,
,occurrenceStatus,alien/exotic (naturalised),,,
,occurrenceStatus,natruralised,,,
,occurrenceStatus,Nt,,,
,occurrenceStatus,introduced/alien,,,
,occurrenceStatus,"introduced (present, no further details)",,,
,occurrenceStatus,In,,,
,occurrenceStatus,absent,,,
,occurrenceStatus,"Naturalised, invasive",,,
,occurrenceStatus,Established invasive,,,
,occurrenceStatus,inv,,,
,occurrenceStatus,"established, invasive",,,
,occurrenceStatus,Inv,,,
,occurrenceStatus,Within country transfer,,,
,occurrenceStatus,alien (established),,,
,occurrenceStatus,Ext,,,
,occurrenceStatus,introduced,,,
,occurrenceStatus,cas o,,,
,occurrenceStatus,Nat,,,
,occurrenceStatus,Ext/Cas,,,
,occurrenceStatus,Uncertain,,,
,occurrenceStatus,New casual,,,
,occurrenceStatus,locally naturalised,,,
,occurrenceStatus,Not applicable NA,,,
,occurrenceStatus,nat o,,,
,occurrenceStatus,"Naturalised, cryptogenic, invasive",,,
,occurrenceStatus,Old casual,,,
,occurrenceStatus,"established,  weed of agricultural impact",,,
,occurrenceStatus,Erroneously reported,,,
,occurrenceStatus,Suspected,,,
,occurrenceStatus,"Naturalised, cryptogenic",,,
,occurrenceStatus,alien (reported to present),,,
,occurrenceStatus,Provenance uncertain,,,
,occurrenceStatus,Absent,,,
,occurrenceStatus,nat inv,,,
,occurrenceStatus,"established, potentially invasive",,,
,occurrenceStatus,alien/exotic (present),,,
,occurrenceStatus,Remnant of cultivation,,,
,occurrenceStatus,introduced/alien (established and expanding),,,
,occurrenceStatus,alien (present to established),,,
,occurrenceStatus,introduced (localised),,,
,occurrenceStatus,eradicated,,,
,occurrenceStatus,Data Deficient,,,
,occurrenceStatus,introduced/alien (reported),,,
,occurrenceStatus,introduced (present),,,
,occurrenceStatus,introduced/alien (reported to present),,,
,occurrenceStatus,introduced/alien (reported to widespread),,,
,occurrenceStatus,alien/exotic (in captivity),,,
,occurrenceStatus,introduced/alien (establishment uncertain),,,
,occurrenceStatus,alien (reported as captive/cultivated),,,
,occurrenceStatus,provenance uncertain,,,
,occurrenceStatus,introduced/alien (restricted distribution),,,
,occurrenceStatus,Native,,,
,occurrenceStatus,alien (present to reported),,,
,occurrenceStatus,alien (established to widespread),,,
,occurrenceStatus,introduced/alien (present to established),,,
,occurrenceStatus,introduced (present to established),,,
,occurrenceStatus,introduced/alien (widespread),,,
,occurrenceStatus,introduced/alien (reported to restricted distribution),,,
,occurrenceStatus,Exotic,,,
,occurrenceStatus,nat#,,,
,occurrenceStatus,alien/exotic (cultivated),,,
,occurrenceStatus,"Cas Wool,� Geraniaceae",,,
