"FirstRecord","verbatimEventDate"
"1928","1928"
"2000","2000"
"1997","1997"
"1999","1999"
"1951","1951"
"2010","2010"
"1917","1917"
"1992","1992"
"1944","1944"
"1948","1948"
"1921","1921"
"1956","1956"
"2012","2012"
"1878","1878"
"1894","1894"
"1898","1898"
"1924","1924"
"1980","1980"
"1997","1997"
"1941","1941"
"2004","2004"
"2002","2002"
"1937","1937"
"2000","2000"
"1917","1917"
"1936","1936"
"2008","2008"
"1925","1925"
"1888","1888"
"1914","1914"
"1899","1899"
"1921","1921"
"1960","1960"
"1887","1887"
"1941","1941"
"1950","1950"
"1939","1939"
"1957","1957"
"1971","1971"
"1909","1909"
"1903","1903"
"1874","1874"
"1945","1945"
"2007","2007"
"1902","1902"
"1881","1881"
"1913","1913"
"1915","1915"
"1971","1971"
"1948","1948"
"1961","1961"
"1975","1975"
"1938","1938"
"1916","1916"
"1897","1897"
"1959","1959"
"2006","2006"
"1985","1985"
"1930","1930"
"2009","2009"
"1959","1959"
"1966","1966"
"1901","1901"
"1997","1997"
"1935","1935"
"1895","1895"
"1914","1914"
"1881","1881"
"1952","1952"
"1969","1969"
"1895","1895"
"2007","2007"
"1933","1933"
"1981","1981"
"1940","1940"
"1894","1894"
"1902","1902"
"1971","1971"
"2002","2002"
"1920","1920"
"1897","1897"
"2001","2001"
"1895","1895"
"2008","2008"
"1891","1891"
"1891","1891"
"1915","1915"
"1915","1915"
"1929","1929"
"1882","1882"
"1912","1912"
"1952","1952"
"1988","1988"
"1882","1882"
"1881","1881"
"1951","1951"
"1937","1937"
"1892","1892"
"1920","1920"
"1956","1956"
"1917","1917"
"1898","1898"
"1903","1903"
"1896","1896"
"1887","1887"
"1932","1932"
"1922","1922"
"1898","1898"
"1929","1929"
"1987","1987"
"1926","1926"
"1925","1925"
"1918","1918"
"1902","1902"
"1938","1938"
"1939","1939"
"1994","1994"
"1907","1907"
"1977","1977"
"1905","1905"
"1901","1901"
"1881","1881"
"1952","1952"
"2011","2011"
"1966","1966"
"1887","1887"
"1990","1990"
"1903","1903"
"1882","1882"
"1920","1920"
"1893","1893"
"1962","1962"
"1887","1887"
"1849","1849"
"1920","1920"
"1988","1988"
"1908","1908"
"1932","1932"
"1993","1993"
"1910","1910"
"2012","2012"
"1926","1926"
"1938","1938"
"1887","1887"
"1940","1940"
"1987","1987"
"1937","1937"
"1895","1895"
"1898","1898"
"1900","1900"
"1906","1906"
"1883","1883"
"1879","1879"
"1895","1895"
"1898","1898"
"1942","1942"
"2002","2002"
"1902","1902"
"1914","1914"
"1894","1894"
"1920","1920"
"1904","1904"
"1995","1995"
"2005","2005"
"1914","1914"
"1985","1985"
"1922","1922"
"1926","1926"
"1982","1982"
"1931","1931"
"1988","1988"
"1915","1915"
"1931","1931"
"1942","1942"
"1887","1887"
"1880","1880"
"1910","1910"
"1933","1933"
"1970","1970"
"1938","1938"
"1939","1939"
"1985","1985"
"1975","1975"
"1893","1893"
"1970","1970"
"1977","1977"
"1891","1891"
"1961","1961"
"1886","1886"
"1972","1972"
"1987","1987"
"2009","2009"
"1884","1884"
"1977","1977"
"1932","1932"
"1920","1920"
"1894","1894"
"1896","1896"
"1892","1892"
"1977","1977"
"1882","1882"
"1896","1896"
"1964","1964"
"1903","1903"
"1905","1905"
"1903","1903"
"1957","1957"
"1889","1889"
"1958","1958"
"1894","1894"
"1887","1887"
"1936","1936"
"1896","1896"
"1895","1895"
"1966","1966"
"1960","1960"
"1964","1964"
"1939","1939"
"1960","1960"
"1988","1988"
"2009","2009"
"1935","1935"
"1962","1962"
"1910","1910"
"1903","1903"
"1909","1909"
"1941","1941"
"1902","1902"
"1930","1930"
"1935","1935"
"1948","1948"
"1878","1878"
"1960","1960"
"1896","1896"
"1953","1953"
"1910","1910"
"1960","1960"
"1922","1922"
"1920","1920"
"1880","1880"
"1882","1882"
"1995","1995"
"1987","1987"
"1991","1991"
"1916","1916"
"1955","1955"
"1969","1969"
"1938","1938"
"1957","1957"
"1939","1939"
"2000","2000"
"1969","1969"
"2010","2010"
"1976","1976"
"2007","2007"
"1909","1909"
"1912","1912"
"1992","1992"
"1919","1919"
"1929","1929"
"1939","1939"
"1916","1916"
"2001","2001"
"1997","1997"
"1995","1995"
"2010","2010"
"1951","1951"
"1916","1916"
"2008","2008"
"1942","1942"
"1939","1939"
"1952","1952"
"2005","2005"
"1965","1965"
"1952","1952"
"1961","1961"
"1978","1978"
"1956","1956"
"2009","2009"
"1919","1919"
"1987","1987"
"1903","1903"
"1897","1897"
"1978","1978"
"2011","2011"
"1982","1982"
"1936","1936"
"1939","1939"
"1908","1908"
"1891","1891"
"1983","1983"
"1957","1957"
"2006","2006"
"1993","1993"
"1880","1880"
"1935","1935"
"1925","1925"
"1954","1954"
"1925","1925"
"1993","1993"
"1970","1970"
"1884","1884"
"1960","1960"
"1913","1913"
"1911","1911"
"1932","1932"
"1938","1938"
"1960","1960"
"1924","1924"
"1918","1918"
"1925","1925"
"1988","1988"
"2000","2000"
"1918","1918"
"1918","1918"
"1953","1953"
"1903","1903"
"1914","1914"
"1976","1976"
"1991","1991"
"1894","1894"
"1918","1918"
"1933","1933"
"1944","1944"
"2002","2002"
"1987","1987"
"1885","1885"
"1885","1885"
"1904","1904"
"1974","1974"
"1941","1941"
"1969","1969"
"1915","1915"
"1952","1952"
"1991","1991"
"1981","1981"
"1995","1995"
"1902","1902"
"1887","1887"
"2002","2002"
"1999","1999"
"1885","1885"
"1952","1952"
"1913","1913"
"1882","1882"
"1934","1934"
"1901","1901"
"1885","1885"
"1984","1984"
"1939","1939"
"1888","1888"
"1955","1955"
"1915","1915"
"2003","2003"
"1935","1935"
"2009","2009"
"1955","1955"
"1923","1923"
"1955","1955"
"1981","1981"
"1913","1913"
"1972","1972"
