FirstRecord,verbatimEventDate,eventRemarks
"",Imported since mid-age,low confidence
-980,"3,000 or more years ago",low confidence
19641984,"1960s, 1980s",low confidence
"",Imported since mid-age,low confidence
"",Recent,low confidence
"",Just after WWII,low confidence
"",Pre WWII,low confidence
"",Pre WWII,low confidence
17281736,1728 or 1736,low confidence
19111924,1911 � 1924,low confidence
"",Pre WWII,low confidence
"",1,low confidence
"",perennial,low confidence
"",Modern times,low confidence
"",Mordern times,low confidence
"",Ancient,low confidence
"",Ancient,low confidence
"",After 25,low confidence
"",Ancient,low confidence
"",Modern,low confidence
"",Modern,low confidence
"",Mordern,low confidence
"",Modern,low confidence
"",Modern,low confidence
"",Mordern,low confidence
"",Ancient,low confidence
-139,BC 139,low confidence
"",Mordern,low confidence
"",Modern,low confidence
"",Modern,low confidence
"",Modern,low confidence
"",Ancient,low confidence
"",Modern,low confidence
"",Modern,low confidence
"",Modern,low confidence
"",Modern,low confidence
"",65,low confidence
"",Ancient,low confidence
"",Ancient,low confidence
"",Ancient,low confidence
"",Mordern,low confidence
"",Ancient,low confidence
"",Mordern,low confidence
19031914-1966,"1903, 1914-1966",low confidence
1900-1999-1900,1900-1999-1900,low confidence
1900-2000-1900,1900-2000-1900,low confidence
1950-2000-1950,1950-2000-1950,low confidence
1950-2000-1950,1950-2000-1950,low confidence
1900-2000-1900,1900-2000-1900,low confidence
1920-1980-1920,1920-1980-1920,low confidence
19923,1992/3,low confidence
18241845,1824�1845,low confidence
18241845,1824�1845,low confidence
"",1877-82,low confidence
19641970,1964 & 1970,low confidence
"",Firtst century AD,low confidence
19391945,1939�1945,low confidence
19061908,1906�1908,low confidence
"",N,low confidence
"",M,low confidence
"",M,low confidence
"",N,low confidence
"",M,low confidence
"",B,low confidence
"",I,low confidence
"",I,low confidence
"",N,low confidence
"",N,low confidence
"",N,low confidence
"",N,low confidence
"",N,low confidence
"",M,low confidence
"",M,low confidence
"",M,low confidence
"",B,low confidence
"",B,low confidence
"",M,low confidence
"",B,low confidence
"",B,low confidence
"",N,low confidence
"",B,low confidence
"",B,low confidence
"",M,low confidence
"",I,low confidence
"",M,low confidence
"",M,low confidence
"",M,low confidence
"",M,low confidence
"",M,low confidence
"",N,low confidence
"",B,low confidence
"",M,low confidence
"",N,low confidence
"",I,low confidence
"",I,low confidence
"",B,low confidence
"",N,low confidence
"",I,low confidence
"",B,low confidence
"",N,low confidence
"",B,low confidence
"",N,low confidence
"",B,low confidence
"",M,low confidence
"",M,low confidence
"",M,low confidence
"",M,low confidence
"",N,low confidence
"",M,low confidence
"",M,low confidence
"",N,low confidence
"",B,low confidence
"",M,low confidence
"",M,low confidence
"",M,low confidence
"",M,low confidence
"",N,low confidence
"",N,low confidence
"",M,low confidence
"",M,low confidence
"",M,low confidence
"",M,low confidence
"",M,low confidence
"",M,low confidence
"",M,low confidence
"",M,low confidence
"",M,low confidence
"",B,low confidence
"",B,low confidence
"",I,low confidence
"",I,low confidence
"",N,low confidence
"",N,low confidence
"",N,low confidence
"",B,low confidence
"",N,low confidence
"",M,low confidence
"",N,low confidence
"",N,low confidence
"",N,low confidence
"",B,low confidence
"",N,low confidence
"",M,low confidence
"",N,low confidence
"",N,low confidence
"",N,low confidence
"",M,low confidence
"",M,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
